NDF v10.0b 16Jan21 rev 16Jan21 run 18/05/2022 14:37:39 Filename: id010203.datbatch idf_example3.spc
str idf_example3.str
file idf_example32.dat
geo idf_example32.geo
element Si   
 depth(at/cm2) element>0 element depth(nm)
-0.319383E+03  0.281006E+01  0.281006E+01 -0.462389E+02
-0.306697E+03  0.282033E+01  0.282033E+01 -0.444024E+02
-0.294012E+03  0.283584E+01  0.283584E+01 -0.425659E+02
-0.281327E+03  0.285523E+01  0.285523E+01 -0.407293E+02
-0.268642E+03  0.287745E+01  0.287745E+01 -0.388928E+02
-0.255956E+03  0.289944E+01  0.289944E+01 -0.370563E+02
-0.243271E+03  0.291837E+01  0.291837E+01 -0.352197E+02
-0.230586E+03  0.293091E+01  0.293091E+01 -0.333832E+02
-0.217900E+03  0.293432E+01  0.293432E+01 -0.315467E+02
-0.205215E+03  0.292928E+01  0.292928E+01 -0.297101E+02
-0.192530E+03  0.291941E+01  0.291941E+01 -0.278736E+02
-0.179844E+03  0.291123E+01  0.291123E+01 -0.260371E+02
-0.167159E+03  0.291457E+01  0.291457E+01 -0.242006E+02
-0.154474E+03  0.293825E+01  0.293825E+01 -0.223640E+02
-0.141788E+03  0.299009E+01  0.299009E+01 -0.205275E+02
-0.129103E+03  0.307328E+01  0.307328E+01 -0.186910E+02
-0.116417E+03  0.318498E+01  0.318498E+01 -0.168544E+02
-0.103732E+03  0.331782E+01  0.331782E+01 -0.150179E+02
-0.910469E+02  0.345965E+01  0.345965E+01 -0.131814E+02
-0.783613E+02  0.359591E+01  0.359591E+01 -0.113448E+02
-0.656757E+02  0.371411E+01  0.371411E+01 -0.950825E+01
-0.529908E+02  0.380490E+01  0.380490E+01 -0.767178E+01
-0.403052E+02  0.386342E+01  0.386342E+01 -0.583521E+01
-0.276202E+02  0.389176E+01  0.389176E+01 -0.399874E+01
-0.149346E+02  0.389489E+01  0.389489E+01 -0.216217E+01
-0.224902E+01  0.388223E+01  0.388223E+01 -0.325604E+00
 0.104359E+02  0.386124E+01  0.386124E+01  0.151087E+01
 0.231215E+02  0.384540E+01  0.384540E+01  0.334743E+01
 0.358071E+02  0.384017E+01  0.384017E+01  0.518400E+01
 0.484920E+02  0.384985E+01  0.384985E+01  0.702047E+01
 0.611776E+02  0.387479E+01  0.387479E+01  0.885704E+01
 0.738632E+02  0.391375E+01  0.391375E+01  0.106936E+02
 0.865337E+02  0.396774E+01  0.396774E+01  0.125280E+02
 0.991986E+02  0.402596E+01  0.402596E+01  0.143615E+02
 0.111863E+03  0.408855E+01  0.408855E+01  0.161950E+02
 0.124528E+03  0.415901E+01  0.415901E+01  0.180286E+02
 0.137192E+03  0.424423E+01  0.424423E+01  0.198621E+02
 0.149857E+03  0.435392E+01  0.435392E+01  0.216956E+02
 0.162508E+03  0.450370E+01  0.450370E+01  0.235272E+02
 0.175149E+03  0.470089E+01  0.470089E+01  0.253573E+02
 0.187789E+03  0.495330E+01  0.495330E+01  0.271873E+02
 0.200430E+03  0.527324E+01  0.527324E+01  0.290174E+02
 0.213070E+03  0.566977E+01  0.566977E+01  0.308474E+02
 0.225711E+03  0.614888E+01  0.614888E+01  0.326775E+02
 0.238344E+03  0.672214E+01  0.672214E+01  0.345065E+02
 0.250965E+03  0.739335E+01  0.739335E+01  0.363336E+02
 0.263586E+03  0.815391E+01  0.815391E+01  0.381609E+02
 0.276208E+03  0.900793E+01  0.900793E+01  0.399882E+02
 0.288828E+03  0.994615E+01  0.994615E+01  0.418153E+02
 0.301449E+03  0.109457E+02  0.109457E+02  0.436426E+02
 0.314116E+03  0.119365E+02  0.119365E+02  0.454987E+02
 0.326921E+03  0.129506E+02  0.129506E+02  0.473751E+02
 0.339727E+03  0.144624E+02  0.144624E+02  0.492516E+02
 0.352532E+03  0.166171E+02  0.166171E+02  0.511280E+02
 0.365338E+03  0.195530E+02  0.195530E+02  0.530045E+02
 0.378141E+03  0.231896E+02  0.231896E+02  0.548806E+02
 0.390928E+03  0.271712E+02  0.271712E+02  0.567543E+02
 0.403715E+03  0.309216E+02  0.309216E+02  0.586281E+02
 0.416503E+03  0.342454E+02  0.342454E+02  0.605020E+02
 0.429289E+03  0.372837E+02  0.372837E+02  0.623757E+02
 0.442345E+03  0.394034E+02  0.394034E+02  0.647953E+02
 0.460580E+03  0.303582E+02  0.303582E+02  0.681748E+02
 0.478813E+03  0.327102E+02  0.327102E+02  0.715541E+02
 0.497036E+03  0.352140E+02  0.352140E+02  0.749314E+02
 0.515248E+03  0.377176E+02  0.377176E+02  0.783066E+02
 0.533458E+03  0.400706E+02  0.400706E+02  0.816816E+02
 0.557707E+03  0.316927E+02  0.316927E+02  0.869933E+02
 0.582232E+03  0.327307E+02  0.327307E+02  0.923655E+02
 0.606756E+03  0.339688E+02  0.339688E+02  0.977374E+02
 0.631281E+03  0.350967E+02  0.350967E+02  0.103110E+03
 0.655805E+03  0.361610E+02  0.361610E+02  0.108482E+03
 0.680331E+03  0.371688E+02  0.371688E+02  0.113854E+03
 0.704803E+03  0.382094E+02  0.382094E+02  0.119214E+03
 0.729244E+03  0.391924E+02  0.391924E+02  0.124568E+03
 0.753687E+03  0.402171E+02  0.402171E+02  0.129922E+03
 0.778130E+03  0.415105E+02  0.415105E+02  0.135277E+03
 0.802571E+03  0.431179E+02  0.431179E+02  0.140630E+03
 0.827014E+03  0.449131E+02  0.449131E+02  0.145984E+03
 0.851431E+03  0.468955E+02  0.468955E+02  0.151333E+03
 0.875788E+03  0.491917E+02  0.491917E+02  0.156668E+03
