NDF v10.0b 16Jan21 rev 16Jan21 run 18/05/2022 14:38:58 Filename: id020101.datbatch idf_example3.spc
str idf_example3.str
file idf_example32.dat
geo idf_example32.geo
element Co   
 depth(at/cm2) element>0 element depth(nm)
-0.322100E+03  0.574269E+00  0.574269E+00 -0.487444E+02
-0.309543E+03  0.589880E+00  0.589880E+00 -0.468440E+02
-0.296985E+03  0.609245E+00  0.609245E+00 -0.449436E+02
-0.284427E+03  0.631334E+00  0.631334E+00 -0.430433E+02
-0.271870E+03  0.653091E+00  0.653091E+00 -0.411429E+02
-0.259312E+03  0.672767E+00  0.672767E+00 -0.392425E+02
-0.246755E+03  0.693217E+00  0.693217E+00 -0.373421E+02
-0.234197E+03  0.721616E+00  0.721616E+00 -0.354418E+02
-0.221640E+03  0.767404E+00  0.767404E+00 -0.335414E+02
-0.209082E+03  0.843348E+00  0.843348E+00 -0.316410E+02
-0.196525E+03  0.969507E+00  0.969507E+00 -0.297406E+02
-0.183967E+03  0.117143E+01  0.117143E+01 -0.278403E+02
-0.171409E+03  0.146724E+01  0.146724E+01 -0.259398E+02
-0.158851E+03  0.185275E+01  0.185275E+01 -0.240394E+02
-0.146294E+03  0.230314E+01  0.230314E+01 -0.221390E+02
-0.133736E+03  0.280216E+01  0.280216E+01 -0.202387E+02
-0.121178E+03  0.338256E+01  0.338256E+01 -0.183383E+02
-0.108621E+03  0.413751E+01  0.413751E+01 -0.164379E+02
-0.960633E+02  0.516705E+01  0.516705E+01 -0.145375E+02
-0.835057E+02  0.649561E+01  0.649561E+01 -0.126372E+02
-0.709481E+02  0.804461E+01  0.804461E+01 -0.107368E+02
-0.583906E+02  0.969934E+01  0.969934E+01 -0.883642E+01
-0.458330E+02  0.113885E+02  0.113885E+02 -0.693604E+01
-0.332754E+02  0.130880E+02  0.130880E+02 -0.503567E+01
-0.207179E+02  0.147848E+02  0.147848E+02 -0.313529E+01
-0.816028E+01  0.164743E+02  0.164743E+02 -0.123492E+01
 0.439729E+01  0.181452E+02  0.181452E+02  0.665454E+00
 0.169549E+02  0.197069E+02  0.197069E+02  0.256583E+01
 0.295124E+02  0.209679E+02  0.209679E+02  0.446620E+01
 0.420700E+02  0.219382E+02  0.219382E+02  0.636658E+01
 0.546276E+02  0.227706E+02  0.227706E+02  0.826695E+01
 0.671851E+02  0.235515E+02  0.235515E+02  0.101673E+02
 0.797321E+02  0.242947E+02  0.242947E+02  0.120661E+02
 0.922617E+02  0.249114E+02  0.249114E+02  0.139622E+02
 0.104791E+03  0.253218E+02  0.253218E+02  0.158584E+02
 0.117321E+03  0.256003E+02  0.256003E+02  0.177545E+02
 0.129850E+03  0.258092E+02  0.258092E+02  0.196507E+02
 0.142380E+03  0.259887E+02  0.259887E+02  0.215468E+02
 0.154898E+03  0.261903E+02  0.261903E+02  0.234412E+02
 0.167398E+03  0.264122E+02  0.264122E+02  0.253329E+02
 0.179899E+03  0.265725E+02  0.265725E+02  0.272246E+02
 0.192399E+03  0.266488E+02  0.266488E+02  0.291163E+02
 0.204900E+03  0.265884E+02  0.265884E+02  0.310080E+02
 0.217400E+03  0.263879E+02  0.263879E+02  0.328998E+02
 0.229889E+03  0.261319E+02  0.261319E+02  0.347897E+02
 0.242360E+03  0.258822E+02  0.258822E+02  0.366771E+02
 0.254831E+03  0.256131E+02  0.256131E+02  0.385643E+02
 0.267302E+03  0.253004E+02  0.253004E+02  0.404515E+02
 0.279772E+03  0.248591E+02  0.248591E+02  0.423388E+02
 0.292243E+03  0.242310E+02  0.242310E+02  0.442260E+02
 0.304522E+03  0.237406E+02  0.237406E+02  0.460388E+02
 0.316485E+03  0.232272E+02  0.232272E+02  0.478050E+02
 0.328447E+03  0.218940E+02  0.218940E+02  0.495711E+02
 0.340410E+03  0.204717E+02  0.204717E+02  0.513372E+02
 0.352372E+03  0.190582E+02  0.190582E+02  0.531034E+02
 0.364335E+03  0.176791E+02  0.176791E+02  0.548695E+02
 0.376277E+03  0.162731E+02  0.162731E+02  0.566326E+02
 0.388211E+03  0.146762E+02  0.146762E+02  0.583945E+02
 0.400145E+03  0.129484E+02  0.129484E+02  0.601563E+02
 0.412078E+03  0.112932E+02  0.112932E+02  0.619182E+02
 0.424012E+03  0.979490E+01  0.979490E+01  0.636800E+02
 0.436149E+03  0.828040E+01  0.828040E+01  0.662036E+02
 0.457509E+03  0.399014E+01  0.399014E+01  0.706447E+02
 0.478869E+03  0.333811E+01  0.333811E+01  0.750857E+02
 0.500228E+03  0.276983E+01  0.276983E+01  0.795268E+02
 0.521577E+03  0.228980E+01  0.228980E+01  0.839655E+02
 0.542892E+03  0.188277E+01  0.188277E+01  0.883973E+02
 0.564207E+03  0.153219E+01  0.153219E+01  0.928291E+02
 0.585522E+03  0.125312E+01  0.125312E+01  0.972609E+02
 0.607418E+03  0.103058E+01  0.103058E+01  0.101959E+03
 0.629993E+03  0.880422E+00  0.880422E+00  0.106804E+03
 0.652568E+03  0.789399E+00  0.789399E+00  0.111648E+03
 0.675142E+03  0.701541E+00  0.701541E+00  0.116493E+03
 0.697717E+03  0.616959E+00  0.616959E+00  0.121337E+03
 0.720292E+03  0.547042E+00  0.547042E+00  0.126181E+03
 0.742866E+03  0.500796E+00  0.500796E+00  0.131026E+03
 0.765442E+03  0.478945E+00  0.478945E+00  0.135870E+03
 0.787944E+03  0.477035E+00  0.477035E+00  0.140699E+03
 0.810422E+03  0.483526E+00  0.483526E+00  0.145522E+03
 0.832901E+03  0.489886E+00  0.489886E+00  0.150346E+03
 0.855379E+03  0.490524E+00  0.490524E+00  0.155170E+03
 0.877857E+03  0.485395E+00  0.485395E+00  0.159993E+03
 0.900336E+03  0.476294E+00  0.476294E+00  0.164817E+03
 0.922814E+03  0.465335E+00  0.465335E+00  0.169641E+03
 0.945240E+03  0.455589E+00  0.455589E+00  0.174129E+03
 0.964656E+03  0.515546E+00  0.515546E+00  0.178016E+03
 0.984072E+03  0.507470E+00  0.507470E+00  0.181902E+03
 0.100349E+04  0.501677E+00  0.501677E+00  0.185788E+03
 0.102290E+04  0.497033E+00  0.497033E+00  0.189675E+03
 0.104232E+04  0.491954E+00  0.491954E+00  0.193561E+03
 0.106174E+04  0.484897E+00  0.484897E+00  0.197447E+03
 0.108115E+04  0.474814E+00  0.474814E+00  0.201334E+03
 0.110052E+04  0.462484E+00  0.462484E+00  0.205211E+03
 0.111986E+04  0.447276E+00  0.447276E+00  0.209081E+03
 0.113919E+04  0.429842E+00  0.429842E+00  0.212951E+03
 0.115853E+04  0.412965E+00  0.412965E+00  0.216821E+03
 0.117786E+04  0.398593E+00  0.398593E+00  0.220691E+03
 0.119719E+04  0.388366E+00  0.388366E+00  0.224561E+03
 0.121653E+04  0.383250E+00  0.383250E+00  0.228430E+03
 0.123586E+04  0.383398E+00  0.383398E+00  0.232300E+03
 0.125510E+04  0.389692E+00  0.389692E+00  0.236152E+03
 0.127435E+04  0.397251E+00  0.397251E+00  0.240004E+03
 0.129360E+04  0.405905E+00  0.405905E+00  0.243857E+03
 0.131284E+04  0.413793E+00  0.413793E+00  0.247709E+03
 0.133209E+04  0.419463E+00  0.419463E+00  0.251561E+03
 0.135133E+04  0.422188E+00  0.422188E+00  0.255413E+03
 0.137058E+04  0.422067E+00  0.422067E+00  0.259265E+03
 0.138978E+04  0.420805E+00  0.420805E+00  0.263109E+03
 0.140894E+04  0.418788E+00  0.418788E+00  0.266944E+03
 0.142810E+04  0.416103E+00  0.416103E+00  0.270779E+03
 0.144726E+04  0.414708E+00  0.414708E+00  0.274614E+03
 0.146642E+04  0.414892E+00  0.414892E+00  0.278449E+03
 0.148558E+04  0.416550E+00  0.416550E+00  0.282284E+03
 0.150474E+04  0.419189E+00  0.419189E+00  0.286118E+03
 0.152389E+04  0.422210E+00  0.422210E+00  0.289953E+03
 0.154298E+04  0.426821E+00  0.426821E+00  0.293772E+03
 0.156205E+04  0.429378E+00  0.429378E+00  0.297590E+03
 0.158112E+04  0.430924E+00  0.430924E+00  0.301407E+03
 0.160019E+04  0.431394E+00  0.431394E+00  0.305225E+03
 0.161926E+04  0.430490E+00  0.430490E+00  0.309042E+03
 0.163833E+04  0.427867E+00  0.427867E+00  0.312859E+03
 0.165741E+04  0.423287E+00  0.423287E+00  0.316677E+03
 0.167645E+04  0.417357E+00  0.417357E+00  0.320489E+03
 0.169543E+04  0.410847E+00  0.410847E+00  0.324288E+03
 0.171442E+04  0.402333E+00  0.402333E+00  0.328088E+03
 0.173340E+04  0.394323E+00  0.394323E+00  0.331887E+03
 0.175238E+04  0.387829E+00  0.387829E+00  0.335686E+03
 0.177136E+04  0.383483E+00  0.383483E+00  0.339486E+03
 0.179034E+04  0.381405E+00  0.381405E+00  0.343285E+03
 0.180932E+04  0.381227E+00  0.381227E+00  0.347084E+03
 0.182825E+04  0.383330E+00  0.383330E+00  0.350873E+03
 0.184715E+04  0.385499E+00  0.385499E+00  0.354655E+03
 0.186604E+04  0.386956E+00  0.386956E+00  0.358438E+03
 0.188494E+04  0.388107E+00  0.388107E+00  0.362220E+03
 0.190384E+04  0.389066E+00  0.389066E+00  0.366003E+03
 0.192274E+04  0.390186E+00  0.390186E+00  0.369785E+03
 0.194163E+04  0.391902E+00  0.391902E+00  0.373568E+03
 0.196053E+04  0.394547E+00  0.394547E+00  0.377350E+03
 0.197935E+04  0.399916E+00  0.399916E+00  0.381116E+03
 0.199816E+04  0.404417E+00  0.404417E+00  0.384881E+03
 0.201697E+04  0.408919E+00  0.408919E+00  0.388646E+03
 0.203578E+04  0.412840E+00  0.412840E+00  0.392411E+03
 0.205459E+04  0.415358E+00  0.415358E+00  0.396177E+03
 0.207340E+04  0.415978E+00  0.415978E+00  0.399941E+03
 0.209221E+04  0.414570E+00  0.414570E+00  0.403707E+03
 0.211100E+04  0.411914E+00  0.411914E+00  0.407468E+03
 0.212972E+04  0.409386E+00  0.409386E+00  0.411214E+03
 0.214844E+04  0.405151E+00  0.405151E+00  0.414961E+03
 0.216715E+04  0.401545E+00  0.401545E+00  0.418708E+03
 0.218587E+04  0.398987E+00  0.398987E+00  0.422455E+03
 0.220459E+04  0.397531E+00  0.397531E+00  0.426202E+03
 0.222331E+04  0.396890E+00  0.396890E+00  0.429949E+03
 0.224203E+04  0.396620E+00  0.396620E+00  0.433696E+03
 0.226071E+04  0.397155E+00  0.397155E+00  0.437435E+03
 0.227934E+04  0.397614E+00  0.397614E+00  0.441164E+03
 0.229798E+04  0.396815E+00  0.396815E+00  0.444893E+03
 0.231661E+04  0.395997E+00  0.395997E+00  0.448623E+03
 0.233524E+04  0.395459E+00  0.395459E+00  0.452352E+03
 0.235387E+04  0.395447E+00  0.395447E+00  0.456081E+03
 0.237250E+04  0.396149E+00  0.396149E+00  0.459811E+03
 0.239114E+04  0.397618E+00  0.397618E+00  0.463540E+03
 0.240971E+04  0.401078E+00  0.401078E+00  0.467258E+03
 0.242825E+04  0.404531E+00  0.404531E+00  0.470969E+03
 0.244679E+04  0.407682E+00  0.407682E+00  0.474681E+03
 0.246534E+04  0.410838E+00  0.410838E+00  0.478392E+03
 0.248388E+04  0.413550E+00  0.413550E+00  0.482104E+03
 0.250242E+04  0.415330E+00  0.415330E+00  0.485815E+03
 0.252096E+04  0.415859E+00  0.415859E+00  0.489527E+03
 0.253951E+04  0.415163E+00  0.415163E+00  0.493238E+03
 0.255798E+04  0.415273E+00  0.415273E+00  0.496936E+03
 0.257644E+04  0.414473E+00  0.414473E+00  0.500631E+03
 0.259490E+04  0.414953E+00  0.414953E+00  0.504327E+03
 0.261337E+04  0.418372E+00  0.418372E+00  0.508022E+03
 0.263183E+04  0.425757E+00  0.425757E+00  0.511717E+03
 0.265029E+04  0.437620E+00  0.437620E+00  0.515413E+03
 0.266875E+04  0.453556E+00  0.453556E+00  0.519108E+03
 0.268721E+04  0.472434E+00  0.472434E+00  0.522803E+03
 0.270558E+04  0.494848E+00  0.494848E+00  0.526480E+03
 0.272395E+04  0.514052E+00  0.514052E+00  0.530157E+03
 0.274232E+04  0.529908E+00  0.529908E+00  0.533834E+03
 0.276069E+04  0.540497E+00  0.540497E+00  0.537510E+03
 0.277906E+04  0.543951E+00  0.543951E+00  0.541187E+03
 0.279743E+04  0.538440E+00  0.538440E+00  0.544863E+03
 0.281579E+04  0.521743E+00  0.521743E+00  0.548540E+03
 0.283416E+04  0.491177E+00  0.491177E+00  0.552216E+03
 0.285244E+04  0.445166E+00  0.445166E+00  0.555874E+03
 0.287071E+04  0.375953E+00  0.375953E+00  0.559533E+03
 0.288899E+04  0.283266E+00  0.283266E+00  0.563191E+03
 0.290727E+04  0.166621E+00  0.166621E+00  0.566850E+03
 0.292555E+04  0.286234E-01  0.286234E-01  0.570509E+03
 0.294383E+04 -0.124673E+00  0.000000E+00  0.574167E+03
 0.296211E+04 -0.284288E+00  0.000000E+00  0.577826E+03
 0.298038E+04 -0.439912E+00  0.000000E+00  0.581483E+03
 0.299857E+04 -0.583391E+00  0.000000E+00  0.585125E+03
 0.301677E+04 -0.702376E+00  0.000000E+00  0.588767E+03
 0.303496E+04 -0.793650E+00  0.000000E+00  0.592408E+03
 0.305316E+04 -0.855458E+00  0.000000E+00  0.596050E+03
 0.307135E+04 -0.888882E+00  0.000000E+00  0.599692E+03
 0.308954E+04 -0.896697E+00  0.000000E+00  0.603334E+03
 0.310774E+04 -0.882475E+00  0.000000E+00  0.606976E+03
 0.312592E+04 -0.850142E+00  0.000000E+00  0.610616E+03
 0.314403E+04 -0.805141E+00  0.000000E+00  0.614240E+03
 0.316214E+04 -0.743311E+00  0.000000E+00  0.617864E+03
 0.318024E+04 -0.670688E+00  0.000000E+00  0.621488E+03
 0.319835E+04 -0.590034E+00  0.000000E+00  0.625112E+03
 0.321646E+04 -0.505328E+00  0.000000E+00  0.628736E+03
 0.323456E+04 -0.421817E+00  0.000000E+00  0.632361E+03
 0.325267E+04 -0.346401E+00  0.000000E+00  0.635985E+03
 0.327077E+04 -0.287858E+00  0.000000E+00  0.639607E+03
 0.328878E+04 -0.255932E+00  0.000000E+00  0.643214E+03
 0.330680E+04 -0.238165E+00  0.000000E+00  0.646820E+03
 0.332482E+04 -0.199784E+00  0.000000E+00  0.650427E+03
 0.334284E+04 -0.980756E-01  0.000000E+00  0.654033E+03
 0.336086E+04  0.930375E-01  0.930375E-01  0.657640E+03
 0.337887E+04  0.366728E+00  0.366728E+00  0.661246E+03
 0.339689E+04  0.672211E+00  0.672211E+00  0.664853E+03
 0.341491E+04  0.936129E+00  0.936129E+00  0.668459E+03
 0.343284E+04  0.112806E+01  0.112806E+01  0.672048E+03
 0.345077E+04  0.125208E+01  0.125208E+01  0.675636E+03
 0.346870E+04  0.133219E+01  0.133219E+01  0.679225E+03
 0.348662E+04  0.138602E+01  0.138602E+01  0.682814E+03
 0.350455E+04  0.143078E+01  0.143078E+01  0.686402E+03
 0.352248E+04  0.144599E+01  0.144599E+01  0.689991E+03
 0.354041E+04  0.140364E+01  0.140364E+01  0.693580E+03
 0.355834E+04  0.128484E+01  0.128484E+01  0.697168E+03
 0.357619E+04  0.108851E+01  0.108851E+01  0.700742E+03
 0.359404E+04  0.814726E+00  0.814726E+00  0.704314E+03
 0.361189E+04  0.493484E+00  0.493484E+00  0.707887E+03
 0.362974E+04  0.155645E+00  0.155645E+00  0.711459E+03
 0.364759E+04 -0.174972E+00  0.000000E+00  0.715032E+03
 0.366543E+04 -0.484889E+00  0.000000E+00  0.718604E+03
 0.368328E+04 -0.767323E+00  0.000000E+00  0.722177E+03
 0.370113E+04 -0.101072E+01  0.000000E+00  0.725749E+03
 0.371890E+04 -0.118348E+01  0.000000E+00  0.729307E+03
 0.373666E+04 -0.122694E+01  0.000000E+00  0.732861E+03
 0.375441E+04 -0.113226E+01  0.000000E+00  0.736415E+03
 0.377217E+04 -0.941290E+00  0.000000E+00  0.739969E+03
 0.378992E+04 -0.682169E+00  0.000000E+00  0.743522E+03
 0.380768E+04 -0.341748E+00  0.000000E+00  0.747076E+03
 0.382543E+04  0.398893E-01  0.398893E-01  0.750630E+03
 0.384319E+04  0.299967E+00  0.299967E+00  0.754184E+03
 0.386089E+04  0.420165E+00  0.420165E+00  0.757727E+03
 0.387856E+04  0.629173E+00  0.629173E+00  0.761264E+03
 0.389623E+04  0.978503E+00  0.978503E+00  0.764801E+03
 0.391390E+04  0.119249E+01  0.119249E+01  0.768338E+03
 0.393157E+04  0.111013E+01  0.111013E+01  0.771875E+03
 0.394924E+04  0.864463E+00  0.864463E+00  0.775411E+03
 0.396691E+04  0.604809E+00  0.604809E+00  0.778948E+03
 0.398458E+04  0.332418E+00  0.332418E+00  0.782485E+03
 0.400222E+04 -0.263892E-01  0.000000E+00  0.786015E+03
 0.401980E+04 -0.477681E+00  0.000000E+00  0.789534E+03
 0.403738E+04 -0.871150E+00  0.000000E+00  0.793054E+03
 0.405497E+04 -0.102515E+01  0.000000E+00  0.796573E+03
 0.407255E+04 -0.919195E+00  0.000000E+00  0.800093E+03
 0.409013E+04 -0.705068E+00  0.000000E+00  0.803612E+03
 0.410772E+04 -0.580245E+00  0.000000E+00  0.807132E+03
 0.412530E+04 -0.660195E+00  0.000000E+00  0.810652E+03
 0.414287E+04 -0.954916E+00  0.000000E+00  0.814169E+03
 0.416037E+04 -0.136038E+01  0.000000E+00  0.817671E+03
 0.417787E+04 -0.166922E+01  0.000000E+00  0.821174E+03
 0.419537E+04 -0.171819E+01  0.000000E+00  0.824676E+03
 0.421287E+04 -0.150407E+01  0.000000E+00  0.828179E+03
 0.423036E+04 -0.118884E+01  0.000000E+00  0.831681E+03
 0.424786E+04 -0.941487E+00  0.000000E+00  0.835184E+03
 0.426536E+04 -0.795153E+00  0.000000E+00  0.838686E+03
 0.428286E+04 -0.736513E+00  0.000000E+00  0.842189E+03
 0.430029E+04 -0.743406E+00  0.000000E+00  0.845677E+03
 0.431770E+04 -0.779812E+00  0.000000E+00  0.849162E+03
 0.433511E+04 -0.818316E+00  0.000000E+00  0.852647E+03
 0.435252E+04 -0.837874E+00  0.000000E+00  0.856133E+03
 0.436994E+04 -0.827794E+00  0.000000E+00  0.859618E+03
