NDF v10.0b 16Jan21 rev 16Jan21 run 07/08/2023 18:20:51 Filename: id020102.datbatch idf_example3.spc
str idf_example3.str
file idf_example32.dat
geo idf_example32.geo
element Pt   
 depth(at/cm2) element>0 element depth(nm)
-0.308316E+03  0.189406E+00  0.189406E+00 -0.462190E+02
-0.296206E+03  0.199536E+00  0.199536E+00 -0.444035E+02
-0.284095E+03  0.211035E+00  0.211035E+00 -0.425880E+02
-0.271984E+03  0.224322E+00  0.224322E+00 -0.407725E+02
-0.259873E+03  0.239910E+00  0.239910E+00 -0.389570E+02
-0.247762E+03  0.258463E+00  0.258463E+00 -0.371415E+02
-0.235652E+03  0.280858E+00  0.280858E+00 -0.353260E+02
-0.223540E+03  0.308254E+00  0.308254E+00 -0.335104E+02
-0.211429E+03  0.342308E+00  0.342308E+00 -0.316949E+02
-0.199319E+03  0.386324E+00  0.386324E+00 -0.298794E+02
-0.187208E+03  0.449957E+00  0.449957E+00 -0.280639E+02
-0.175097E+03  0.547032E+00  0.547032E+00 -0.262484E+02
-0.162986E+03  0.691118E+00  0.691118E+00 -0.244329E+02
-0.150876E+03  0.895430E+00  0.895430E+00 -0.226174E+02
-0.138765E+03  0.118073E+01  0.118073E+01 -0.208019E+02
-0.126654E+03  0.158603E+01  0.158603E+01 -0.189864E+02
-0.114543E+03  0.217086E+01  0.217086E+01 -0.171709E+02
-0.102432E+03  0.300031E+01  0.300031E+01 -0.153554E+02
-0.903217E+02  0.411789E+01  0.411789E+01 -0.135399E+02
-0.782109E+02  0.553432E+01  0.553432E+01 -0.117244E+02
-0.661001E+02  0.725066E+01  0.725066E+01 -0.990892E+01
-0.539893E+02  0.928724E+01  0.928724E+01 -0.809342E+01
-0.418779E+02  0.116710E+02  0.116710E+02 -0.627782E+01
-0.297671E+02  0.144024E+02  0.144024E+02 -0.446232E+01
-0.176563E+02  0.174219E+02  0.174219E+02 -0.264682E+01
-0.554557E+01  0.206236E+02  0.206236E+02 -0.831324E+00
 0.656521E+01  0.238662E+02  0.238662E+02  0.984176E+00
 0.186760E+02  0.270636E+02  0.270636E+02  0.279968E+01
 0.307868E+02  0.301139E+02  0.301139E+02  0.461518E+01
 0.428975E+02  0.329647E+02  0.329647E+02  0.643068E+01
 0.550083E+02  0.355900E+02  0.355900E+02  0.824617E+01
 0.671191E+02  0.379544E+02  0.379544E+02  0.100617E+02
 0.792192E+02  0.400457E+02  0.400457E+02  0.118756E+02
 0.912993E+02  0.418283E+02  0.418283E+02  0.136865E+02
 0.103379E+03  0.432079E+02  0.432079E+02  0.154974E+02
 0.115460E+03  0.442793E+02  0.442793E+02  0.173083E+02
 0.127540E+03  0.450805E+02  0.450805E+02  0.191192E+02
 0.139620E+03  0.456669E+02  0.456669E+02  0.209302E+02
 0.151696E+03  0.461397E+02  0.461397E+02  0.227405E+02
 0.163746E+03  0.466057E+02  0.466057E+02  0.245468E+02
 0.175796E+03  0.468770E+02  0.468770E+02  0.263531E+02
 0.187845E+03  0.470501E+02  0.470501E+02  0.281595E+02
 0.199895E+03  0.471431E+02  0.471431E+02  0.299658E+02
 0.211944E+03  0.471882E+02  0.471882E+02  0.317721E+02
 0.223994E+03  0.471940E+02  0.471940E+02  0.335784E+02
 0.236017E+03  0.472517E+02  0.472517E+02  0.353807E+02
 0.248037E+03  0.471376E+02  0.471376E+02  0.371827E+02
 0.260057E+03  0.469366E+02  0.469366E+02  0.389846E+02
 0.272077E+03  0.466764E+02  0.466764E+02  0.407865E+02
 0.284098E+03  0.463877E+02  0.463877E+02  0.425884E+02
 0.296118E+03  0.460747E+02  0.460747E+02  0.443904E+02
 0.307905E+03  0.465948E+02  0.465948E+02  0.461276E+02
 0.319583E+03  0.464777E+02  0.464777E+02  0.478485E+02
 0.331259E+03  0.456541E+02  0.456541E+02  0.495693E+02
 0.342936E+03  0.445190E+02  0.445190E+02  0.512902E+02
 0.354613E+03  0.430833E+02  0.430833E+02  0.530110E+02
 0.366269E+03  0.414109E+02  0.414109E+02  0.547288E+02
 0.377921E+03  0.393130E+02  0.393130E+02  0.564461E+02
 0.389574E+03  0.368364E+02  0.368364E+02  0.581635E+02
 0.401227E+03  0.340610E+02  0.340610E+02  0.598808E+02
 0.413251E+03  0.301293E+02  0.301293E+02  0.621487E+02
 0.430820E+03  0.185652E+02  0.185652E+02  0.654626E+02
 0.448390E+03  0.164713E+02  0.164713E+02  0.687765E+02
 0.465959E+03  0.143941E+02  0.143941E+02  0.720903E+02
 0.483504E+03  0.124051E+02  0.124051E+02  0.753995E+02
 0.501041E+03  0.105107E+02  0.105107E+02  0.787074E+02
 0.518579E+03  0.875108E+01  0.875108E+01  0.820153E+02
 0.538743E+03  0.622271E+01  0.622271E+01  0.863918E+02
 0.561712E+03  0.438096E+01  0.438096E+01  0.913771E+02
 0.584681E+03  0.344652E+01  0.344652E+01  0.963625E+02
 0.607651E+03  0.266388E+01  0.266388E+01  0.101348E+03
 0.630620E+03  0.202708E+01  0.202708E+01  0.106333E+03
 0.653589E+03  0.152152E+01  0.152152E+01  0.111319E+03
 0.676559E+03  0.113131E+01  0.113131E+01  0.116304E+03
 0.699528E+03  0.840527E+00  0.840527E+00  0.121289E+03
 0.722497E+03  0.630282E+00  0.630282E+00  0.126275E+03
 0.745421E+03  0.480510E+00  0.480510E+00  0.131250E+03
 0.768273E+03  0.372127E+00  0.372127E+00  0.136210E+03
 0.791125E+03  0.291907E+00  0.291907E+00  0.141170E+03
 0.813977E+03  0.233421E+00  0.233421E+00  0.146130E+03
 0.836829E+03  0.190703E+00  0.190703E+00  0.151090E+03
 0.859681E+03  0.159031E+00  0.159031E+00  0.156050E+03
 0.882534E+03  0.135028E+00  0.135028E+00  0.161010E+03
 0.905386E+03  0.116326E+00  0.116326E+00  0.165970E+03
 0.928238E+03  0.101055E+00  0.101055E+00  0.170930E+03
 0.950179E+03  0.917002E-01  0.917002E-01  0.175321E+03
 0.969456E+03  0.912049E-01  0.912049E-01  0.179180E+03
 0.988733E+03  0.801231E-01  0.801231E-01  0.183038E+03
 0.100801E+04  0.709577E-01  0.709577E-01  0.186897E+03
 0.102729E+04  0.635121E-01  0.635121E-01  0.190755E+03
 0.104656E+04  0.575490E-01  0.575490E-01  0.194614E+03
 0.106584E+04  0.528277E-01  0.528277E-01  0.198472E+03
 0.108512E+04  0.491346E-01  0.491346E-01  0.202331E+03
 0.110433E+04  0.464734E-01  0.464734E-01  0.206176E+03
 0.112352E+04  0.444724E-01  0.444724E-01  0.210018E+03
 0.114272E+04  0.431654E-01  0.431654E-01  0.213860E+03
 0.116191E+04  0.425510E-01  0.425510E-01  0.217702E+03
 0.118111E+04  0.425531E-01  0.425531E-01  0.221544E+03
 0.120030E+04  0.430529E-01  0.430529E-01  0.225386E+03
