NDF v10.0b 16Jan21 rev 16Jan21 run 11/05/2022 12:20:23 Filename: id020104.datbatch idf_example3.spc
str idf_example3.str
file idf_example32.dat
geo idf_example32.geo
element O    
 depth(at/cm2) element>0 element depth(nm)
-0.356869E+03  0.625425E+01  0.625425E+01 -0.526239E+02
-0.342788E+03  0.659162E+01  0.659162E+01 -0.505475E+02
-0.328707E+03  0.675815E+01  0.675815E+01 -0.484711E+02
-0.314626E+03  0.673077E+01  0.673077E+01 -0.463947E+02
-0.300544E+03  0.652013E+01  0.652013E+01 -0.443183E+02
-0.286463E+03  0.616620E+01  0.616620E+01 -0.422419E+02
-0.272382E+03  0.572039E+01  0.572039E+01 -0.401655E+02
-0.258301E+03  0.522337E+01  0.522337E+01 -0.380890E+02
-0.244219E+03  0.469662E+01  0.469662E+01 -0.360126E+02
-0.230138E+03  0.414116E+01  0.414116E+01 -0.339362E+02
-0.216057E+03  0.355156E+01  0.355156E+01 -0.318598E+02
-0.201976E+03  0.293351E+01  0.293351E+01 -0.297833E+02
-0.187895E+03  0.231341E+01  0.231341E+01 -0.277070E+02
-0.173813E+03  0.173420E+01  0.173420E+01 -0.256305E+02
-0.159732E+03  0.124430E+01  0.124430E+01 -0.235541E+02
-0.145651E+03  0.879163E+00  0.879163E+00 -0.214777E+02
-0.131570E+03  0.649235E+00  0.649235E+00 -0.194013E+02
-0.117488E+03  0.535728E+00  0.535728E+00 -0.173248E+02
-0.103407E+03  0.493279E+00  0.493279E+00 -0.152484E+02
-0.893259E+02  0.460230E+00  0.460230E+00 -0.131720E+02
-0.752446E+02  0.374474E+00  0.374474E+00 -0.110956E+02
-0.611636E+02  0.197192E+00  0.197192E+00 -0.901918E+01
-0.470822E+02 -0.652580E-01  0.000000E+00 -0.694275E+01
-0.330009E+02 -0.349229E+00  0.000000E+00 -0.486631E+01
-0.189199E+02 -0.540917E+00  0.000000E+00 -0.278993E+01
-0.483853E+01 -0.504409E+00  0.000000E+00 -0.713489E+00
 0.924283E+01 -0.123773E+00  0.000000E+00  0.136295E+01
 0.233238E+02  0.653539E+00  0.653539E+00  0.343933E+01
 0.374052E+02  0.179246E+01  0.179246E+01  0.551577E+01
 0.514865E+02  0.316684E+01  0.316684E+01  0.759221E+01
 0.655675E+02  0.458853E+01  0.458853E+01  0.966859E+01
 0.796515E+02  0.585224E+01  0.585224E+01  0.117454E+02
 0.937408E+02  0.679046E+01  0.679046E+01  0.138230E+02
 0.107830E+03  0.731753E+01  0.731753E+01  0.159006E+02
 0.121919E+03  0.743995E+01  0.743995E+01  0.179782E+02
 0.136008E+03  0.725709E+01  0.725709E+01  0.200558E+02
 0.150097E+03  0.693254E+01  0.693254E+01  0.221334E+02
 0.164199E+03  0.665186E+01  0.665186E+01  0.242127E+02
 0.178300E+03  0.661522E+01  0.661522E+01  0.262921E+02
 0.192400E+03  0.697985E+01  0.697985E+01  0.283714E+02
 0.206502E+03  0.786933E+01  0.786933E+01  0.304507E+02
 0.220603E+03  0.936066E+01  0.936066E+01  0.325301E+02
 0.234711E+03  0.114678E+02  0.114678E+02  0.346105E+02
 0.248824E+03  0.141623E+02  0.141623E+02  0.366916E+02
 0.262936E+03  0.173668E+02  0.173668E+02  0.387726E+02
 0.277048E+03  0.209773E+02  0.209773E+02  0.408535E+02
 0.291161E+03  0.248965E+02  0.248965E+02  0.429346E+02
 0.305258E+03  0.290872E+02  0.290872E+02  0.450093E+02
 0.319331E+03  0.335157E+02  0.335157E+02  0.470804E+02
 0.333404E+03  0.380847E+02  0.380847E+02  0.491515E+02
 0.347477E+03  0.428443E+02  0.428443E+02  0.512226E+02
 0.361549E+03  0.477841E+02  0.477841E+02  0.532937E+02
 0.375627E+03  0.528569E+02  0.528569E+02  0.553655E+02
 0.389706E+03  0.580513E+02  0.580513E+02  0.574375E+02
 0.403785E+03  0.633113E+02  0.633113E+02  0.595095E+02
 0.417864E+03  0.685886E+02  0.685886E+02  0.615816E+02
 0.432295E+03  0.720442E+02  0.720442E+02  0.645753E+02
 0.455617E+03  0.477175E+02  0.477175E+02  0.694137E+02
 0.478939E+03  0.507984E+02  0.507984E+02  0.742520E+02
 0.502260E+03  0.537870E+02  0.537870E+02  0.790902E+02
 0.525578E+03  0.566368E+02  0.566368E+02  0.839277E+02
 0.548887E+03  0.592834E+02  0.592834E+02  0.887633E+02
 0.572196E+03  0.616063E+02  0.616063E+02  0.935989E+02
 0.595505E+03  0.635312E+02  0.635312E+02  0.984345E+02
 0.620051E+03  0.617080E+02  0.617080E+02  0.103808E+03
 0.645431E+03  0.605215E+02  0.605215E+02  0.109365E+03
 0.670812E+03  0.608432E+02  0.608432E+02  0.114921E+03
 0.696192E+03  0.606507E+02  0.606507E+02  0.120478E+03
 0.721572E+03  0.599702E+02  0.599702E+02  0.126035E+03
 0.746953E+03  0.588376E+02  0.588376E+02  0.131591E+03
 0.772333E+03  0.573041E+02  0.573041E+02  0.137148E+03
 0.797713E+03  0.554148E+02  0.554148E+02  0.142704E+03
 0.823065E+03  0.532673E+02  0.532673E+02  0.148254E+03
 0.848410E+03  0.507905E+02  0.507905E+02  0.153803E+03
 0.873754E+03  0.480604E+02  0.480604E+02  0.159352E+03
 0.899100E+03  0.451258E+02  0.451258E+02  0.164901E+03
