NDF v10.0b 16Jan21 rev 16Jan21 run 08/08/2023 15:04:49 Filename: idff0102.datbatch idf_example3.spc
str idf_example3.str
file idf_example32.dat
geo idf_example32.geo
 channel data fit
integral  0.28294E+07  0.22020E+07
    1  0.84000E+03  0.28971E+04
    2  0.57055E+03  0.33093E+04
    3  0.35332E+03  0.37078E+04
    4  0.18740E+03  0.40792E+04
    5  0.70551E+02  0.44126E+04
    6 -0.10377E+01  0.47002E+04
    7 -0.32835E+02  0.49382E+04
    8 -0.31999E+02  0.51262E+04
    9 -0.75987E+01  0.52670E+04
   10  0.28851E+02  0.53657E+04
   11  0.62624E+02  0.54285E+04
   12  0.58022E+02  0.54620E+04
   13 -0.96489E+02  0.54728E+04
   14 -0.50415E+03  0.54663E+04
   15 -0.99351E+03  0.54474E+04
   16 -0.77732E+03  0.54197E+04
   17  0.15501E+04  0.53859E+04
   18  0.72141E+04  0.53480E+04
   19  0.15918E+05  0.53074E+04
   20  0.25007E+05  0.52648E+04
   21  0.30455E+05  0.52211E+04
   22  0.31554E+05  0.51766E+04
   23  0.30546E+05  0.51317E+04
   24  0.29326E+05  0.50866E+04
   25  0.28353E+05  0.50415E+04
   26  0.27498E+05  0.49966E+04
   27  0.26705E+05  0.49520E+04
   28  0.25946E+05  0.49080E+04
   29  0.25175E+05  0.48645E+04
   30  0.24363E+05  0.48217E+04
   31  0.23506E+05  0.47797E+04
   32  0.22616E+05  0.47385E+04
   33  0.21714E+05  0.46983E+04
   34  0.20815E+05  0.46589E+04
   35  0.19932E+05  0.46205E+04
   36  0.19079E+05  0.45831E+04
   37  0.18267E+05  0.45466E+04
   38  0.17502E+05  0.45110E+04
   39  0.16775E+05  0.44764E+04
   40  0.16083E+05  0.44427E+04
   41  0.15434E+05  0.44099E+04
   42  0.14843E+05  0.43780E+04
   43  0.14316E+05  0.43469E+04
   44  0.13847E+05  0.43167E+04
   45  0.13425E+05  0.42873E+04
   46  0.13040E+05  0.42586E+04
   47  0.12689E+05  0.42307E+04
   48  0.12374E+05  0.42035E+04
   49  0.12099E+05  0.41771E+04
   50  0.11863E+05  0.41512E+04
   51  0.11656E+05  0.41261E+04
   52  0.11460E+05  0.41015E+04
   53  0.11260E+05  0.40776E+04
   54  0.11046E+05  0.40542E+04
   55  0.10821E+05  0.40313E+04
   56  0.10586E+05  0.40090E+04
   57  0.10346E+05  0.39871E+04
   58  0.10102E+05  0.39658E+04
   59  0.98576E+04  0.39449E+04
   60  0.96132E+04  0.39244E+04
   61  0.93699E+04  0.39043E+04
   62  0.91281E+04  0.38847E+04
   63  0.88883E+04  0.38654E+04
   64  0.86509E+04  0.38465E+04
   65  0.84162E+04  0.38280E+04
   66  0.81845E+04  0.38098E+04
   67  0.79563E+04  0.37919E+04
   68  0.77314E+04  0.37743E+04
   69  0.75100E+04  0.37571E+04
   70  0.72918E+04  0.37401E+04
   71  0.70773E+04  0.37235E+04
   72  0.68669E+04  0.37070E+04
   73  0.66621E+04  0.36909E+04
   74  0.64647E+04  0.36750E+04
   75  0.62771E+04  0.36594E+04
   76  0.61015E+04  0.36440E+04
   77  0.59399E+04  0.36288E+04
   78  0.57931E+04  0.36139E+04
   79  0.56606E+04  0.35991E+04
   80  0.55405E+04  0.35846E+04
   81  0.54295E+04  0.35704E+04
   82  0.53236E+04  0.35563E+04
   83  0.52186E+04  0.35424E+04
   84  0.51131E+04  0.35288E+04
   85  0.50088E+04  0.35153E+04
   86  0.49102E+04  0.35021E+04
   87  0.48213E+04  0.34891E+04
   88  0.47437E+04  0.34762E+04
   89  0.46753E+04  0.34636E+04
   90  0.46122E+04  0.34512E+04
   91  0.45507E+04  0.34390E+04
   92  0.44892E+04  0.34270E+04
   93  0.44279E+04  0.34152E+04
   94  0.43682E+04  0.34036E+04
   95  0.43099E+04  0.33922E+04
   96  0.42463E+04  0.33810E+04
   97  0.41765E+04  0.33699E+04
   98  0.41130E+04  0.33590E+04
   99  0.40707E+04  0.33483E+04
  100  0.40510E+04  0.33377E+04
  101  0.40441E+04  0.33273E+04
  102  0.40429E+04  0.33171E+04
  103  0.40441E+04  0.33070E+04
  104  0.40325E+04  0.32971E+04
  105  0.39989E+04  0.32873E+04
  106  0.39681E+04  0.32777E+04
  107  0.39474E+04  0.32683E+04
  108  0.39132E+04  0.32590E+04
  109  0.38552E+04  0.32498E+04
  110  0.38015E+04  0.32408E+04
  111  0.37737E+04  0.32320E+04
  112  0.37559E+04  0.32233E+04
  113  0.37364E+04  0.32147E+04
  114  0.37135E+04  0.32062E+04
  115  0.37004E+04  0.31979E+04
  116  0.37025E+04  0.31897E+04
  117  0.37075E+04  0.31816E+04
  118  0.36982E+04  0.31736E+04
  119  0.36706E+04  0.31657E+04
  120  0.36362E+04  0.31580E+04
  121  0.36083E+04  0.31503E+04
  122  0.35891E+04  0.31427E+04
  123  0.35749E+04  0.31352E+04
  124  0.35625E+04  0.31278E+04
  125  0.35502E+04  0.31205E+04
  126  0.35378E+04  0.31133E+04
  127  0.35263E+04  0.31061E+04
  128  0.35171E+04  0.30991E+04
  129  0.35109E+04  0.30921E+04
  130  0.35071E+04  0.30852E+04
  131  0.35032E+04  0.30784E+04
  132  0.34961E+04  0.30717E+04
  133  0.34838E+04  0.30650E+04
  134  0.34660E+04  0.30584E+04
  135  0.34446E+04  0.30519E+04
  136  0.34220E+04  0.30455E+04
  137  0.34000E+04  0.30391E+04
  138  0.33799E+04  0.30328E+04
  139  0.33625E+04  0.30265E+04
  140  0.33484E+04  0.30204E+04
  141  0.33375E+04  0.30143E+04
  142  0.33294E+04  0.30083E+04
  143  0.33233E+04  0.30023E+04
  144  0.33180E+04  0.29964E+04
  145  0.33123E+04  0.29906E+04
  146  0.33053E+04  0.29848E+04
  147  0.32964E+04  0.29792E+04
  148  0.32854E+04  0.29736E+04
  149  0.32727E+04  0.29680E+04
  150  0.32593E+04  0.29626E+04
  151  0.32459E+04  0.29572E+04
  152  0.32336E+04  0.29519E+04
  153  0.32231E+04  0.29467E+04
  154  0.32149E+04  0.29416E+04
  155  0.32093E+04  0.29365E+04
  156  0.32062E+04  0.29315E+04
  157  0.32050E+04  0.29266E+04
  158  0.32051E+04  0.29217E+04
  159  0.32055E+04  0.29169E+04
  160  0.32051E+04  0.29121E+04
  161  0.32030E+04  0.29074E+04
  162  0.31987E+04  0.29027E+04
  163  0.31919E+04  0.28981E+04
  164  0.31830E+04  0.28935E+04
  165  0.31729E+04  0.28889E+04
  166  0.31622E+04  0.28843E+04
  167  0.31519E+04  0.28798E+04
  168  0.31424E+04  0.28753E+04
  169  0.31342E+04  0.28708E+04
  170  0.31272E+04  0.28664E+04
  171  0.31210E+04  0.28621E+04
  172  0.31151E+04  0.28577E+04
  173  0.31092E+04  0.28534E+04
  174  0.31028E+04  0.28492E+04
  175  0.30957E+04  0.28450E+04
  176  0.30880E+04  0.28409E+04
  177  0.30800E+04  0.28369E+04
  178  0.30722E+04  0.28329E+04
  179  0.30651E+04  0.28289E+04
  180  0.30593E+04  0.28250E+04
  181  0.30551E+04  0.28212E+04
  182  0.30522E+04  0.28174E+04
  183  0.30503E+04  0.28136E+04
  184  0.30487E+04  0.28098E+04
  185  0.30467E+04  0.28061E+04
  186  0.30438E+04  0.28024E+04
  187  0.30395E+04  0.27987E+04
  188  0.30341E+04  0.27951E+04
  189  0.30277E+04  0.27914E+04
  190  0.30207E+04  0.27878E+04
  191  0.30137E+04  0.27841E+04
  192  0.30071E+04  0.27805E+04
  193  0.30009E+04  0.27770E+04
  194  0.29952E+04  0.27734E+04
  195  0.29899E+04  0.27699E+04
  196  0.29847E+04  0.27664E+04
  197  0.29796E+04  0.27630E+04
  198  0.29744E+04  0.27597E+04
  199  0.29692E+04  0.27563E+04
  200  0.29643E+04  0.27531E+04
  201  0.29599E+04  0.27499E+04
  202  0.29563E+04  0.27467E+04
  203  0.29539E+04  0.27436E+04
  204  0.29528E+04  0.27405E+04
  205  0.29528E+04  0.27374E+04
  206  0.29536E+04  0.27344E+04
  207  0.29546E+04  0.27314E+04
  208  0.29553E+04  0.27283E+04
  209  0.29550E+04  0.27253E+04
  210  0.29535E+04  0.27223E+04
  211  0.29506E+04  0.27194E+04
  212  0.29463E+04  0.27164E+04
  213  0.29409E+04  0.27134E+04
  214  0.29346E+04  0.27105E+04
  215  0.29276E+04  0.27075E+04
  216  0.29203E+04  0.27046E+04
  217  0.29129E+04  0.27017E+04
  218  0.29055E+04  0.26989E+04
  219  0.28983E+04  0.26960E+04
  220  0.28914E+04  0.26932E+04
  221  0.28850E+04  0.26905E+04
  222  0.28789E+04  0.26877E+04
  223  0.28732E+04  0.26850E+04
  224  0.28679E+04  0.26824E+04
  225  0.28630E+04  0.26797E+04
  226  0.28584E+04  0.26771E+04
  227  0.28540E+04  0.26745E+04
  228  0.28500E+04  0.26719E+04
  229  0.28462E+04  0.26693E+04
  230  0.28428E+04  0.26668E+04
  231  0.28397E+04  0.26642E+04
  232  0.28371E+04  0.26617E+04
  233  0.28351E+04  0.26592E+04
  234  0.28338E+04  0.26567E+04
  235  0.28333E+04  0.26542E+04
  236  0.28333E+04  0.26518E+04
  237  0.28337E+04  0.26493E+04
  238  0.28341E+04  0.26469E+04
  239  0.28344E+04  0.26445E+04
  240  0.28342E+04  0.26421E+04
  241  0.28336E+04  0.26398E+04
  242  0.28327E+04  0.26374E+04
  243  0.28320E+04  0.26352E+04
  244  0.28320E+04  0.26329E+04
  245  0.28335E+04  0.26308E+04
  246  0.28374E+04  0.26288E+04
  247  0.28442E+04  0.26271E+04
  248  0.28544E+04  0.26260E+04
  249  0.28683E+04  0.26257E+04
  250  0.28858E+04  0.26270E+04
  251  0.29065E+04  0.26304E+04
  252  0.29299E+04  0.26370E+04
  253  0.29554E+04  0.26480E+04
  254  0.29825E+04  0.26645E+04
  255  0.30105E+04  0.26875E+04
  256  0.30388E+04  0.27176E+04
  257  0.30671E+04  0.27548E+04
  258  0.30947E+04  0.27985E+04
  259  0.31213E+04  0.28470E+04
  260  0.31464E+04  0.28982E+04
  261  0.31695E+04  0.29495E+04
  262  0.31904E+04  0.29982E+04
  263  0.32085E+04  0.30421E+04
  264  0.32237E+04  0.30796E+04
  265  0.32355E+04  0.31096E+04
  266  0.32435E+04  0.31320E+04
  267  0.32473E+04  0.31472E+04
  268  0.32466E+04  0.31556E+04
  269  0.32410E+04  0.31578E+04
  270  0.32307E+04  0.31543E+04
  271  0.32158E+04  0.31453E+04
  272  0.31969E+04  0.31306E+04
  273  0.31747E+04  0.31103E+04
  274  0.31500E+04  0.30842E+04
  275  0.31235E+04  0.30526E+04
  276  0.30958E+04  0.30162E+04
  277  0.30674E+04  0.29759E+04
  278  0.30386E+04  0.29332E+04
