NDF v10.0b 16Jan21 rev 16Jan21 run 09/05/2022 17:05:44 Filename: Co010101.datbatch Co_040_Pt_060.spc
str Co_040_Pt_060.str
file Co_040_Pt_0601.dat
geo Co_040_Pt_0601.geo
element Co   
 depth(at/cm2) element>0 element depth(nm)
-0.298785E+03 -0.526335E+03  0.000000E+00 -0.392911E+02
-0.288692E+03 -0.526174E+03  0.000000E+00 -0.379639E+02
-0.278600E+03 -0.526013E+03  0.000000E+00 -0.366366E+02
-0.268507E+03 -0.525852E+03  0.000000E+00 -0.353094E+02
-0.258414E+03 -0.525690E+03  0.000000E+00 -0.339822E+02
-0.248322E+03 -0.525530E+03  0.000000E+00 -0.326550E+02
-0.238229E+03 -0.525367E+03  0.000000E+00 -0.313278E+02
-0.228136E+03 -0.525207E+03  0.000000E+00 -0.300006E+02
-0.218044E+03 -0.525044E+03  0.000000E+00 -0.286733E+02
-0.207951E+03 -0.524884E+03  0.000000E+00 -0.273461E+02
-0.197858E+03 -0.524717E+03  0.000000E+00 -0.260189E+02
-0.187766E+03 -0.524553E+03  0.000000E+00 -0.246917E+02
-0.177673E+03 -0.524385E+03  0.000000E+00 -0.233645E+02
-0.167580E+03 -0.524210E+03  0.000000E+00 -0.220373E+02
-0.157488E+03 -0.524028E+03  0.000000E+00 -0.207101E+02
-0.147395E+03 -0.523832E+03  0.000000E+00 -0.193828E+02
-0.137302E+03 -0.523618E+03  0.000000E+00 -0.180556E+02
-0.127209E+03 -0.523371E+03  0.000000E+00 -0.167284E+02
-0.117117E+03 -0.523081E+03  0.000000E+00 -0.154012E+02
-0.107024E+03 -0.522724E+03  0.000000E+00 -0.140740E+02
-0.969314E+02 -0.522275E+03  0.000000E+00 -0.127468E+02
-0.868387E+02 -0.521699E+03  0.000000E+00 -0.114195E+02
-0.767460E+02 -0.520942E+03  0.000000E+00 -0.100923E+02
-0.666534E+02 -0.519948E+03  0.000000E+00 -0.876510E+01
-0.565607E+02 -0.518632E+03  0.000000E+00 -0.743789E+01
-0.464680E+02 -0.516903E+03  0.000000E+00 -0.611067E+01
-0.363753E+02 -0.514640E+03  0.000000E+00 -0.478345E+01
-0.262826E+02 -0.511714E+03  0.000000E+00 -0.345624E+01
-0.161899E+02 -0.507965E+03  0.000000E+00 -0.212902E+01
-0.609725E+01 -0.503230E+03  0.000000E+00 -0.801806E+00
 0.399543E+01 -0.497052E+03  0.000000E+00  0.525410E+00
 0.140881E+02 -0.489792E+03  0.000000E+00  0.185263E+01
 0.241808E+02 -0.480999E+03  0.000000E+00  0.317984E+01
 0.342735E+02 -0.470504E+03  0.000000E+00  0.450706E+01
 0.443575E+02 -0.458563E+03  0.000000E+00  0.583314E+01
 0.544390E+02 -0.444388E+03  0.000000E+00  0.715888E+01
 0.645205E+02 -0.428103E+03  0.000000E+00  0.848463E+01
 0.746003E+02 -0.409902E+03  0.000000E+00  0.981015E+01
 0.846703E+02 -0.390107E+03  0.000000E+00  0.111344E+02
 0.947403E+02 -0.368153E+03  0.000000E+00  0.124586E+02
 0.104810E+03 -0.344661E+03  0.000000E+00  0.137828E+02
 0.114875E+03 -0.320100E+03  0.000000E+00  0.151063E+02
 0.124933E+03 -0.294599E+03  0.000000E+00  0.164291E+02
 0.134992E+03 -0.268402E+03  0.000000E+00  0.177518E+02
 0.145051E+03 -0.242094E+03  0.000000E+00  0.190746E+02
 0.155100E+03 -0.216307E+03  0.000000E+00  0.203961E+02
 0.165147E+03 -0.191017E+03  0.000000E+00  0.217173E+02
 0.175194E+03 -0.166772E+03  0.000000E+00  0.230386E+02
 0.185239E+03 -0.143964E+03  0.000000E+00  0.243595E+02
 0.195275E+03 -0.122875E+03  0.000000E+00  0.256793E+02
 0.205312E+03 -0.103515E+03  0.000000E+00  0.269991E+02
 0.215348E+03 -0.861229E+02  0.000000E+00  0.283189E+02
 0.225378E+03 -0.707920E+02  0.000000E+00  0.296378E+02
 0.235403E+03 -0.574295E+02  0.000000E+00  0.309561E+02
 0.245428E+03 -0.459583E+02  0.000000E+00  0.322745E+02
 0.255453E+03 -0.362897E+02  0.000000E+00  0.335928E+02
 0.265468E+03 -0.282995E+02  0.000000E+00  0.349097E+02
 0.275482E+03 -0.217463E+02  0.000000E+00  0.362266E+02
 0.285495E+03 -0.164793E+02  0.000000E+00  0.375434E+02
 0.295506E+03 -0.123184E+02  0.000000E+00  0.388599E+02
 0.305508E+03 -0.908315E+01  0.000000E+00  0.401752E+02
