NDF v10.0b 16Jan21 rev 16Jan21 run 09/05/2022 17:05:44 Filename: Co010104.datbatch Co_070_Pt_030.spc
str Co_070_Pt_030.str
file Co_070_Pt_0301.dat
geo Co_070_Pt_0301.geo
element O    
 depth(at/cm2) element>0 element depth(nm)
-0.378779E+03 -0.232637E+03  0.000000E+00 -0.453943E+02
-0.365837E+03 -0.232563E+03  0.000000E+00 -0.438432E+02
-0.352894E+03 -0.232491E+03  0.000000E+00 -0.422922E+02
-0.339952E+03 -0.232418E+03  0.000000E+00 -0.407411E+02
-0.327009E+03 -0.232345E+03  0.000000E+00 -0.391900E+02
-0.314067E+03 -0.232274E+03  0.000000E+00 -0.376390E+02
-0.301125E+03 -0.232202E+03  0.000000E+00 -0.360879E+02
-0.288182E+03 -0.232131E+03  0.000000E+00 -0.345368E+02
-0.275240E+03 -0.232061E+03  0.000000E+00 -0.329858E+02
-0.262297E+03 -0.231991E+03  0.000000E+00 -0.314347E+02
-0.249355E+03 -0.231920E+03  0.000000E+00 -0.298836E+02
-0.236413E+03 -0.231852E+03  0.000000E+00 -0.283326E+02
-0.223470E+03 -0.231783E+03  0.000000E+00 -0.267815E+02
-0.210528E+03 -0.231715E+03  0.000000E+00 -0.252304E+02
-0.197585E+03 -0.231647E+03  0.000000E+00 -0.236794E+02
-0.184643E+03 -0.231581E+03  0.000000E+00 -0.221283E+02
-0.171701E+03 -0.231514E+03  0.000000E+00 -0.205772E+02
-0.158758E+03 -0.231448E+03  0.000000E+00 -0.190262E+02
-0.145816E+03 -0.231383E+03  0.000000E+00 -0.174751E+02
-0.132873E+03 -0.231318E+03  0.000000E+00 -0.159240E+02
-0.119931E+03 -0.231254E+03  0.000000E+00 -0.143730E+02
-0.106989E+03 -0.231190E+03  0.000000E+00 -0.128219E+02
-0.940461E+02 -0.231127E+03  0.000000E+00 -0.112708E+02
-0.811037E+02 -0.231065E+03  0.000000E+00 -0.971977E+01
-0.681613E+02 -0.231003E+03  0.000000E+00 -0.816871E+01
-0.552189E+02 -0.230941E+03  0.000000E+00 -0.661764E+01
-0.422765E+02 -0.230880E+03  0.000000E+00 -0.506657E+01
-0.293341E+02 -0.230820E+03  0.000000E+00 -0.351551E+01
-0.163917E+02 -0.230760E+03  0.000000E+00 -0.196444E+01
-0.344928E+01 -0.230701E+03  0.000000E+00 -0.413375E+00
 0.949313E+01 -0.230531E+03  0.000000E+00  0.113769E+01
 0.224355E+02 -0.230473E+03  0.000000E+00  0.268876E+01
 0.353779E+02 -0.230415E+03  0.000000E+00  0.423982E+01
 0.483226E+02 -0.230317E+03  0.000000E+00  0.579116E+01
 0.612675E+02 -0.230256E+03  0.000000E+00  0.734253E+01
 0.742127E+02 -0.230196E+03  0.000000E+00  0.889393E+01
 0.871603E+02 -0.230097E+03  0.000000E+00  0.104456E+02
 0.100108E+03 -0.230042E+03  0.000000E+00  0.119973E+02
 0.113056E+03 -0.229974E+03  0.000000E+00  0.135491E+02
 0.126007E+03 -0.229881E+03  0.000000E+00  0.151011E+02
 0.138957E+03 -0.229827E+03  0.000000E+00  0.166532E+02
 0.151909E+03 -0.229747E+03  0.000000E+00  0.182054E+02
 0.164863E+03 -0.229658E+03  0.000000E+00  0.197579E+02
 0.177818E+03 -0.229606E+03  0.000000E+00  0.213103E+02
 0.190774E+03 -0.229515E+03  0.000000E+00  0.228631E+02
 0.203732E+03 -0.229438E+03  0.000000E+00  0.244160E+02
 0.216690E+03 -0.229388E+03  0.000000E+00  0.259689E+02
 0.229651E+03 -0.229284E+03  0.000000E+00  0.275222E+02
 0.242613E+03 -0.229221E+03  0.000000E+00  0.290756E+02
 0.255575E+03 -0.229173E+03  0.000000E+00  0.306290E+02
 0.268541E+03 -0.229049E+03  0.000000E+00  0.321829E+02
 0.281507E+03 -0.229000E+03  0.000000E+00  0.337369E+02
 0.294474E+03 -0.228941E+03  0.000000E+00  0.352909E+02
 0.307446E+03 -0.228819E+03  0.000000E+00  0.368454E+02
 0.320417E+03 -0.228774E+03  0.000000E+00  0.384000E+02
 0.333390E+03 -0.228702E+03  0.000000E+00  0.399547E+02
 0.346366E+03 -0.228597E+03  0.000000E+00  0.415098E+02
 0.359343E+03 -0.228554E+03  0.000000E+00  0.430650E+02
 0.372322E+03 -0.228462E+03  0.000000E+00  0.446205E+02
 0.385304E+03 -0.228371E+03  0.000000E+00  0.461763E+02
 0.398286E+03 -0.228331E+03  0.000000E+00  0.477321E+02
 0.411272E+03 -0.228217E+03  0.000000E+00  0.492884E+02
 0.424261E+03 -0.228144E+03  0.000000E+00  0.508450E+02
 0.437249E+03 -0.228107E+03  0.000000E+00  0.524016E+02
 0.450242E+03 -0.227982E+03  0.000000E+00  0.539587E+02
 0.463237E+03 -0.227938E+03  0.000000E+00  0.555160E+02
 0.476231E+03 -0.227909E+03  0.000000E+00  0.570734E+02
 0.489232E+03 -0.227784E+03  0.000000E+00  0.586315E+02
 0.502234E+03 -0.227788E+03  0.000000E+00  0.601896E+02
 0.515236E+03 -0.227788E+03  0.000000E+00  0.617479E+02
 0.528245E+03 -0.227753E+03  0.000000E+00  0.633069E+02
 0.541254E+03 -0.227882E+03  0.000000E+00  0.648659E+02
 0.554266E+03 -0.228045E+03  0.000000E+00  0.664253E+02
 0.567282E+03 -0.228315E+03  0.000000E+00  0.679852E+02
 0.580298E+03 -0.228837E+03  0.000000E+00  0.695451E+02
 0.593320E+03 -0.229515E+03  0.000000E+00  0.711057E+02
 0.606344E+03 -0.230558E+03  0.000000E+00  0.726665E+02
 0.619368E+03 -0.232089E+03  0.000000E+00  0.742274E+02
 0.632400E+03 -0.234057E+03  0.000000E+00  0.757892E+02
 0.645433E+03 -0.236814E+03  0.000000E+00  0.773511E+02
 0.658465E+03 -0.240454E+03  0.000000E+00  0.789130E+02
 0.671507E+03 -0.244949E+03  0.000000E+00  0.804759E+02
 0.684548E+03 -0.250771E+03  0.000000E+00  0.820388E+02
 0.697591E+03 -0.257877E+03  0.000000E+00  0.836020E+02
 0.710642E+03 -0.266295E+03  0.000000E+00  0.851661E+02
 0.723693E+03 -0.276386E+03  0.000000E+00  0.867302E+02
