NDF v10.0b 16Jan21 rev 16Jan21 run 09/05/2022 17:05:44 Filename: Co010102.datbatch Co_100_Pt_000.spc
str Co_100_Pt_000.str
file Co_100_Pt_0001.dat
geo Co_100_Pt_0001.geo
element Pt   
 depth(at/cm2) element>0 element depth(nm)
-0.374582E+03  0.000000E+00  0.000000E+00 -0.412353E+02
-0.362061E+03  0.000000E+00  0.000000E+00 -0.398570E+02
-0.349540E+03  0.000000E+00  0.000000E+00 -0.384787E+02
-0.337020E+03  0.000000E+00  0.000000E+00 -0.371003E+02
-0.324499E+03  0.000000E+00  0.000000E+00 -0.357220E+02
-0.311978E+03  0.000000E+00  0.000000E+00 -0.343437E+02
-0.299458E+03  0.000000E+00  0.000000E+00 -0.329654E+02
-0.286937E+03  0.000000E+00  0.000000E+00 -0.315871E+02
-0.274416E+03  0.000000E+00  0.000000E+00 -0.302087E+02
-0.261896E+03  0.000000E+00  0.000000E+00 -0.288304E+02
-0.249375E+03  0.000000E+00  0.000000E+00 -0.274521E+02
-0.236854E+03  0.000000E+00  0.000000E+00 -0.260738E+02
-0.224334E+03  0.000000E+00  0.000000E+00 -0.246955E+02
-0.211813E+03  0.000000E+00  0.000000E+00 -0.233171E+02
-0.199292E+03  0.000000E+00  0.000000E+00 -0.219388E+02
-0.186772E+03  0.000000E+00  0.000000E+00 -0.205605E+02
-0.174251E+03  0.000000E+00  0.000000E+00 -0.191822E+02
-0.161730E+03  0.000000E+00  0.000000E+00 -0.178039E+02
-0.149210E+03  0.000000E+00  0.000000E+00 -0.164255E+02
-0.136689E+03  0.000000E+00  0.000000E+00 -0.150472E+02
-0.124168E+03  0.000000E+00  0.000000E+00 -0.136689E+02
-0.111647E+03  0.000000E+00  0.000000E+00 -0.122906E+02
-0.991268E+02  0.000000E+00  0.000000E+00 -0.109122E+02
-0.866061E+02  0.000000E+00  0.000000E+00 -0.953392E+01
-0.740855E+02  0.000000E+00  0.000000E+00 -0.815560E+01
-0.615648E+02  0.000000E+00  0.000000E+00 -0.677728E+01
-0.490441E+02  0.000000E+00  0.000000E+00 -0.539896E+01
-0.365235E+02  0.000000E+00  0.000000E+00 -0.402064E+01
-0.240028E+02  0.000000E+00  0.000000E+00 -0.264232E+01
-0.114821E+02  0.000000E+00  0.000000E+00 -0.126399E+01
 0.103855E+01  0.000000E+00  0.000000E+00  0.114327E+00
 0.135592E+02  0.000000E+00  0.000000E+00  0.149265E+01
 0.260799E+02  0.000000E+00  0.000000E+00  0.287097E+01
 0.385983E+02  0.000000E+00  0.000000E+00  0.424904E+01
 0.511049E+02  0.000000E+00  0.000000E+00  0.562581E+01
 0.636114E+02  0.000000E+00  0.000000E+00  0.700258E+01
 0.761147E+02  0.000000E+00  0.000000E+00  0.837898E+01
 0.886072E+02  0.000000E+00  0.000000E+00  0.975420E+01
 0.101100E+03  0.000000E+00  0.000000E+00  0.111294E+02
 0.113588E+03  0.000000E+00  0.000000E+00  0.125041E+02
 0.126066E+03  0.000000E+00  0.000000E+00  0.138778E+02
 0.138544E+03  0.000000E+00  0.000000E+00  0.152514E+02
 0.151016E+03  0.000000E+00  0.000000E+00  0.166244E+02
 0.163480E+03  0.000000E+00  0.000000E+00  0.179965E+02
 0.175945E+03  0.000000E+00  0.000000E+00  0.193686E+02
 0.188402E+03  0.000000E+00  0.000000E+00  0.207400E+02
 0.200852E+03  0.000000E+00  0.000000E+00  0.221105E+02
 0.213301E+03  0.000000E+00  0.000000E+00  0.234810E+02
 0.225744E+03  0.000000E+00  0.000000E+00  0.248507E+02
 0.238179E+03  0.000000E+00  0.000000E+00  0.262197E+02
 0.250615E+03  0.000000E+00  0.000000E+00  0.275886E+02
 0.263043E+03  0.000000E+00  0.000000E+00  0.289567E+02
 0.275464E+03  0.000000E+00  0.000000E+00  0.303241E+02
 0.287885E+03  0.000000E+00  0.000000E+00  0.316915E+02
 0.300298E+03  0.000000E+00  0.000000E+00  0.330579E+02
 0.312706E+03  0.000000E+00  0.000000E+00  0.344238E+02
 0.325113E+03  0.000000E+00  0.000000E+00  0.357896E+02
 0.337511E+03  0.000000E+00  0.000000E+00  0.371544E+02
 0.349904E+03  0.000000E+00  0.000000E+00  0.385187E+02
 0.362297E+03  0.000000E+00  0.000000E+00  0.398830E+02
 0.374680E+03  0.000000E+00  0.000000E+00  0.412462E+02
 0.387060E+03  0.000000E+00  0.000000E+00  0.426090E+02
 0.399439E+03  0.000000E+00  0.000000E+00  0.439717E+02
 0.411808E+03  0.000000E+00  0.000000E+00  0.453333E+02
 0.424173E+03  0.000000E+00  0.000000E+00  0.466945E+02
 0.436538E+03  0.000000E+00  0.000000E+00  0.480557E+02
 0.448891E+03  0.000000E+00  0.000000E+00  0.494156E+02
 0.461242E+03  0.000000E+00  0.000000E+00  0.507752E+02
 0.473592E+03  0.000000E+00  0.000000E+00  0.521347E+02
 0.485930E+03  0.000000E+00  0.000000E+00  0.534930E+02
 0.498266E+03  0.000000E+00  0.000000E+00  0.548510E+02
 0.510603E+03  0.000000E+00  0.000000E+00  0.562090E+02
 0.522927E+03  0.000000E+00  0.000000E+00  0.575658E+02
 0.535250E+03  0.000000E+00  0.000000E+00  0.589223E+02
 0.547573E+03  0.000000E+00  0.000000E+00  0.602789E+02
 0.559884E+03  0.000000E+00  0.000000E+00  0.616340E+02
 0.572193E+03  0.000000E+00  0.000000E+00  0.629891E+02
 0.584502E+03  0.000000E+00  0.000000E+00  0.643441E+02
 0.596798E+03  0.000000E+00  0.000000E+00  0.656977E+02
 0.609092E+03  0.000000E+00  0.000000E+00  0.670511E+02
 0.621387E+03  0.000000E+00  0.000000E+00  0.684045E+02
 0.633667E+03  0.000000E+00  0.000000E+00  0.697564E+02
 0.645947E+03  0.000000E+00  0.000000E+00  0.711082E+02
 0.658227E+03  0.000000E+00  0.000000E+00  0.724601E+02
 0.670493E+03  0.000000E+00  0.000000E+00  0.738103E+02
 0.682758E+03  0.000000E+00  0.000000E+00  0.751605E+02
 0.695023E+03  0.000000E+00  0.000000E+00  0.765107E+02
 0.707276E+03  0.000000E+00  0.000000E+00  0.778596E+02
 0.719529E+03  0.000000E+00  0.000000E+00  0.792084E+02
 0.731782E+03  0.000000E+00  0.000000E+00  0.805573E+02
 0.744021E+03  0.000000E+00  0.000000E+00  0.819045E+02
 0.756260E+03  0.000000E+00  0.000000E+00  0.832518E+02
 0.768498E+03  0.000000E+00  0.000000E+00  0.845991E+02
 0.780722E+03  0.000000E+00  0.000000E+00  0.859448E+02
 0.792947E+03  0.000000E+00  0.000000E+00  0.872905E+02
 0.805171E+03  0.000000E+00  0.000000E+00  0.886362E+02
 0.817381E+03  0.000000E+00  0.000000E+00  0.899803E+02
 0.829591E+03  0.000000E+00  0.000000E+00  0.913244E+02
 0.841801E+03  0.000000E+00  0.000000E+00  0.926685E+02
 0.853996E+03  0.000000E+00  0.000000E+00  0.940111E+02
 0.866192E+03  0.000000E+00  0.000000E+00  0.953536E+02
 0.878387E+03  0.000000E+00  0.000000E+00  0.966961E+02
 0.890570E+03  0.000000E+00  0.000000E+00  0.980372E+02
 0.902752E+03  0.000000E+00  0.000000E+00  0.993783E+02
 0.914934E+03  0.000000E+00  0.000000E+00  0.100719E+03
 0.927103E+03  0.000000E+00  0.000000E+00  0.102059E+03
 0.939272E+03  0.000000E+00  0.000000E+00  0.103398E+03
 0.951440E+03  0.000000E+00  0.000000E+00  0.104738E+03
 0.963595E+03  0.000000E+00  0.000000E+00  0.106076E+03
 0.975750E+03  0.000000E+00  0.000000E+00  0.107414E+03
 0.987904E+03  0.000000E+00  0.000000E+00  0.108752E+03
 0.100004E+04  0.000000E+00  0.000000E+00  0.110089E+03
 0.101218E+04  0.000000E+00  0.000000E+00  0.111425E+03
 0.102432E+04  0.000000E+00  0.000000E+00  0.112761E+03
 0.103645E+04  0.000000E+00  0.000000E+00  0.114096E+03
 0.104858E+04  0.000000E+00  0.000000E+00  0.115431E+03
 0.106070E+04  0.000000E+00  0.000000E+00  0.116766E+03
 0.107282E+04  0.000000E+00  0.000000E+00  0.118100E+03
 0.108493E+04  0.000000E+00  0.000000E+00  0.119433E+03
 0.109704E+04  0.000000E+00  0.000000E+00  0.120767E+03
 0.110914E+04  0.000000E+00  0.000000E+00  0.122098E+03
 0.112124E+04  0.000000E+00  0.000000E+00  0.123430E+03
 0.113334E+04  0.000000E+00  0.000000E+00  0.124762E+03
 0.114543E+04  0.000000E+00  0.000000E+00  0.126093E+03
 0.115751E+04  0.000000E+00  0.000000E+00  0.127423E+03
 0.116959E+04  0.000000E+00  0.000000E+00  0.128753E+03
 0.118167E+04  0.000000E+00  0.000000E+00  0.130082E+03
 0.119374E+04  0.000000E+00  0.000000E+00  0.131411E+03
 0.120581E+04  0.000000E+00  0.000000E+00  0.132740E+03
 0.121787E+04  0.000000E+00  0.000000E+00  0.134067E+03
 0.122993E+04  0.000000E+00  0.000000E+00  0.135395E+03
 0.124198E+04  0.000000E+00  0.000000E+00  0.136722E+03
 0.125403E+04  0.000000E+00  0.000000E+00  0.138048E+03
 0.126607E+04  0.000000E+00  0.000000E+00  0.139374E+03
 0.127812E+04  0.000000E+00  0.000000E+00  0.140700E+03
 0.129015E+04  0.000000E+00  0.000000E+00  0.142024E+03
 0.130218E+04  0.000000E+00  0.000000E+00  0.143349E+03
 0.131421E+04  0.000000E+00  0.000000E+00  0.144673E+03
 0.132623E+04  0.000000E+00  0.000000E+00  0.145996E+03
 0.133824E+04  0.000000E+00  0.000000E+00  0.147319E+03
 0.135026E+04  0.000000E+00  0.000000E+00  0.148641E+03
 0.136227E+04  0.000000E+00  0.000000E+00  0.149963E+03
 0.137427E+04  0.000000E+00  0.000000E+00  0.151285E+03
 0.138627E+04  0.000000E+00  0.000000E+00  0.152606E+03
 0.139826E+04  0.000000E+00  0.000000E+00  0.153926E+03
 0.141025E+04  0.000000E+00  0.000000E+00  0.155246E+03
 0.142224E+04  0.000000E+00  0.000000E+00  0.156565E+03
 0.143422E+04  0.000000E+00  0.000000E+00  0.157884E+03
 0.144619E+04  0.000000E+00  0.000000E+00  0.159202E+03
 0.145817E+04  0.000000E+00  0.000000E+00  0.160521E+03
 0.147014E+04  0.000000E+00  0.000000E+00  0.161838E+03
 0.148210E+04  0.000000E+00  0.000000E+00  0.163155E+03
 0.149406E+04 -0.228542E-05  0.000000E+00  0.164471E+03
 0.151086E+04 -0.941614E-05  0.000000E+00  0.168179E+03
 0.153245E+04 -0.256985E-04  0.000000E+00  0.172941E+03
 0.155404E+04 -0.777684E-04  0.000000E+00  0.177703E+03
 0.157563E+04 -0.217026E-03  0.000000E+00  0.182464E+03
 0.159718E+04 -0.569879E-03  0.000000E+00  0.187219E+03
 0.161873E+04 -0.141344E-02  0.000000E+00  0.191973E+03
 0.164029E+04 -0.332652E-02  0.000000E+00  0.196728E+03
 0.166181E+04 -0.743489E-02  0.000000E+00  0.201476E+03
 0.168333E+04 -0.157789E-01  0.000000E+00  0.206223E+03
 0.170485E+04 -0.318223E-01  0.000000E+00  0.210969E+03
 0.172636E+04 -0.610749E-01  0.000000E+00  0.215714E+03
 0.174784E+04 -0.111628E+00  0.000000E+00  0.220453E+03
 0.176932E+04 -0.194099E+00  0.000000E+00  0.225192E+03
 0.179081E+04 -0.321676E+00  0.000000E+00  0.229931E+03
 0.181226E+04 -0.509329E+00  0.000000E+00  0.234663E+03
 0.183371E+04 -0.769102E+00  0.000000E+00  0.239395E+03
 0.185516E+04 -0.111031E+01  0.000000E+00  0.244126E+03
 0.187659E+04 -0.153607E+01  0.000000E+00  0.248854E+03
 0.189801E+04 -0.203826E+01  0.000000E+00  0.253577E+03
 0.191942E+04 -0.259721E+01  0.000000E+00  0.258301E+03
 0.194083E+04 -0.318816E+01  0.000000E+00  0.263024E+03
 0.196221E+04 -0.378464E+01  0.000000E+00  0.267741E+03
 0.198359E+04 -0.434514E+01  0.000000E+00  0.272457E+03
 0.200497E+04 -0.484799E+01  0.000000E+00  0.277173E+03
 0.202633E+04 -0.528068E+01  0.000000E+00  0.281884E+03
 0.204767E+04 -0.562735E+01  0.000000E+00  0.286592E+03
 0.206902E+04 -0.588879E+01  0.000000E+00  0.291301E+03
 0.209035E+04 -0.607884E+01  0.000000E+00  0.296007E+03
 0.211167E+04 -0.621394E+01  0.000000E+00  0.300709E+03
 0.213298E+04 -0.629577E+01  0.000000E+00  0.305410E+03
 0.215429E+04 -0.634511E+01  0.000000E+00  0.310111E+03
 0.217557E+04 -0.638129E+01  0.000000E+00  0.314806E+03
 0.219685E+04 -0.639751E+01  0.000000E+00  0.319499E+03
 0.221813E+04 -0.640381E+01  0.000000E+00  0.324193E+03
 0.223939E+04 -0.640946E+01  0.000000E+00  0.328883E+03
 0.226063E+04 -0.641594E+01  0.000000E+00  0.333569E+03
 0.228187E+04 -0.641441E+01  0.000000E+00  0.338254E+03
 0.230312E+04 -0.641238E+01  0.000000E+00  0.342940E+03
 0.232433E+04 -0.641971E+01  0.000000E+00  0.347619E+03
 0.234553E+04 -0.641827E+01  0.000000E+00  0.352297E+03
 0.236674E+04 -0.641604E+01  0.000000E+00  0.356975E+03
 0.238793E+04 -0.641862E+01  0.000000E+00  0.361649E+03
 0.240910E+04 -0.642194E+01  0.000000E+00  0.366320E+03
 0.243028E+04 -0.641970E+01  0.000000E+00  0.370990E+03
 0.245145E+04 -0.641747E+01  0.000000E+00  0.375660E+03
 0.247259E+04 -0.642516E+01  0.000000E+00  0.380323E+03
 0.249373E+04 -0.642278E+01  0.000000E+00  0.384986E+03
 0.251486E+04 -0.642041E+01  0.000000E+00  0.389649E+03
 0.253598E+04 -0.642395E+01  0.000000E+00  0.394308E+03
 0.255709E+04 -0.642633E+01  0.000000E+00  0.398963E+03
 0.257819E+04 -0.642410E+01  0.000000E+00  0.403619E+03
 0.259929E+04 -0.642262E+01  0.000000E+00  0.408273E+03
 0.262036E+04 -0.643036E+01  0.000000E+00  0.412921E+03
 0.264143E+04 -0.642792E+01  0.000000E+00  0.417568E+03
 0.266250E+04 -0.642563E+01  0.000000E+00  0.422216E+03
 0.268355E+04 -0.642958E+01  0.000000E+00  0.426859E+03
 0.270458E+04 -0.643118E+01  0.000000E+00  0.431499E+03
 0.272562E+04 -0.642896E+01  0.000000E+00  0.436139E+03
 0.274665E+04 -0.642802E+01  0.000000E+00  0.440778E+03
 0.276765E+04 -0.643524E+01  0.000000E+00  0.445411E+03
 0.278865E+04 -0.643295E+01  0.000000E+00  0.450043E+03
 0.280965E+04 -0.643061E+01  0.000000E+00  0.454675E+03
 0.283063E+04 -0.643492E+01  0.000000E+00  0.459303E+03
 0.285159E+04 -0.643618E+01  0.000000E+00  0.463928E+03
 0.287256E+04 -0.643378E+01  0.000000E+00  0.468553E+03
 0.289352E+04 -0.643339E+01  0.000000E+00  0.473177E+03
 0.291445E+04 -0.644083E+01  0.000000E+00  0.477793E+03
 0.293538E+04 -0.643857E+01  0.000000E+00  0.482410E+03
 0.295631E+04 -0.643625E+01  0.000000E+00  0.487027E+03
 0.297722E+04 -0.644060E+01  0.000000E+00  0.491639E+03
 0.299812E+04 -0.644166E+01  0.000000E+00  0.496249E+03
 0.301901E+04 -0.643935E+01  0.000000E+00  0.500859E+03
 0.303991E+04 -0.643882E+01  0.000000E+00  0.505467E+03
 0.306077E+04 -0.644546E+01  0.000000E+00  0.510069E+03
 0.308163E+04 -0.644336E+01  0.000000E+00  0.514672E+03
 0.310250E+04 -0.644097E+01  0.000000E+00  0.519274E+03
 0.312334E+04 -0.644554E+01  0.000000E+00  0.523871E+03
 0.314417E+04 -0.644707E+01  0.000000E+00  0.528466E+03
 0.316499E+04 -0.644478E+01  0.000000E+00  0.533060E+03
 0.318582E+04 -0.644406E+01  0.000000E+00  0.537654E+03
 0.320661E+04 -0.645100E+01  0.000000E+00  0.542241E+03
 0.322741E+04 -0.644864E+01  0.000000E+00  0.546828E+03
 0.324820E+04 -0.644658E+01  0.000000E+00  0.551415E+03
 0.326897E+04 -0.645096E+01  0.000000E+00  0.555997E+03
 0.328973E+04 -0.645292E+01  0.000000E+00  0.560576E+03
 0.331049E+04 -0.645072E+01  0.000000E+00  0.565156E+03
 0.333125E+04 -0.644957E+01  0.000000E+00  0.569734E+03
 0.335198E+04 -0.645711E+01  0.000000E+00  0.574306E+03
 0.337270E+04 -0.645485E+01  0.000000E+00  0.578878E+03
 0.339343E+04 -0.645272E+01  0.000000E+00  0.583449E+03
 0.341413E+04 -0.645632E+01  0.000000E+00  0.588017E+03
 0.343482E+04 -0.645877E+01  0.000000E+00  0.592581E+03
 0.345551E+04 -0.645644E+01  0.000000E+00  0.597145E+03
 0.347620E+04 -0.645449E+01  0.000000E+00  0.601710E+03
 0.349686E+04 -0.646305E+01  0.000000E+00  0.606266E+03
 0.351752E+04 -0.646072E+01  0.000000E+00  0.610823E+03
 0.353817E+04 -0.645868E+01  0.000000E+00  0.615379E+03
 0.355881E+04 -0.646170E+01  0.000000E+00  0.619932E+03
 0.357944E+04 -0.646504E+01  0.000000E+00  0.624481E+03
 0.360006E+04 -0.646293E+01  0.000000E+00  0.629030E+03
 0.362068E+04 -0.646069E+01  0.000000E+00  0.633579E+03
 0.364127E+04 -0.646785E+01  0.000000E+00  0.638121E+03
 0.366186E+04 -0.646623E+01  0.000000E+00  0.642663E+03
 0.368245E+04 -0.646408E+01  0.000000E+00  0.647205E+03
 0.370303E+04 -0.646613E+01  0.000000E+00  0.651744E+03
 0.372358E+04 -0.647082E+01  0.000000E+00  0.656279E+03
 0.374414E+04 -0.646875E+01  0.000000E+00  0.660813E+03
 0.376469E+04 -0.646654E+01  0.000000E+00  0.665347E+03
 0.378522E+04 -0.647326E+01  0.000000E+00  0.669875E+03
 0.380574E+04 -0.647313E+01  0.000000E+00  0.674401E+03
 0.382626E+04 -0.647094E+01  0.000000E+00  0.678928E+03
 0.384677E+04 -0.647158E+01  0.000000E+00  0.683453E+03
 0.386726E+04 -0.647709E+01  0.000000E+00  0.687972E+03
 0.388775E+04 -0.647501E+01  0.000000E+00  0.692491E+03
 0.390824E+04 -0.647277E+01  0.000000E+00  0.697011E+03
 0.392870E+04 -0.647810E+01  0.000000E+00  0.701525E+03
 0.394915E+04 -0.647922E+01  0.000000E+00  0.706036E+03
 0.396960E+04 -0.647658E+01  0.000000E+00  0.710548E+03
 0.399005E+04 -0.647485E+01  0.000000E+00  0.715059E+03
 0.401047E+04 -0.648044E+01  0.000000E+00  0.719563E+03
 0.403089E+04 -0.647557E+01  0.000000E+00  0.724067E+03
 0.405131E+04 -0.646919E+01  0.000000E+00  0.728572E+03
 0.407171E+04 -0.646553E+01  0.000000E+00  0.733072E+03
 0.409210E+04 -0.645718E+01  0.000000E+00  0.737569E+03
 0.411249E+04 -0.643723E+01  0.000000E+00  0.742066E+03
 0.413287E+04 -0.640832E+01  0.000000E+00  0.746562E+03
