NDF v10.0b 16Jan21 rev 16Jan21 run 09/05/2022 17:05:44 Filename: Co010103.datbatch Co_100_Pt_000.spc
str Co_100_Pt_000.str
file Co_100_Pt_0001.dat
geo Co_100_Pt_0001.geo
element Si   
 depth(at/cm2) element>0 element depth(nm)
-0.402513E+03  0.000000E+00  0.000000E+00 -0.443101E+02
-0.388998E+03  0.000000E+00  0.000000E+00 -0.428223E+02
-0.375483E+03  0.000000E+00  0.000000E+00 -0.413345E+02
-0.361968E+03  0.000000E+00  0.000000E+00 -0.398467E+02
-0.348452E+03  0.000000E+00  0.000000E+00 -0.383589E+02
-0.334937E+03  0.000000E+00  0.000000E+00 -0.368711E+02
-0.321422E+03  0.000000E+00  0.000000E+00 -0.353833E+02
-0.307907E+03  0.000000E+00  0.000000E+00 -0.338955E+02
-0.294391E+03  0.000000E+00  0.000000E+00 -0.324077E+02
-0.280876E+03  0.000000E+00  0.000000E+00 -0.309199E+02
-0.267361E+03  0.000000E+00  0.000000E+00 -0.294321E+02
-0.253846E+03  0.000000E+00  0.000000E+00 -0.279443E+02
-0.240330E+03  0.000000E+00  0.000000E+00 -0.264564E+02
-0.226815E+03  0.000000E+00  0.000000E+00 -0.249686E+02
-0.213300E+03  0.000000E+00  0.000000E+00 -0.234808E+02
-0.199785E+03  0.000000E+00  0.000000E+00 -0.219930E+02
-0.186269E+03  0.000000E+00  0.000000E+00 -0.205052E+02
-0.172754E+03  0.000000E+00  0.000000E+00 -0.190174E+02
-0.159239E+03  0.000000E+00  0.000000E+00 -0.175296E+02
-0.145724E+03  0.000000E+00  0.000000E+00 -0.160418E+02
-0.132208E+03  0.000000E+00  0.000000E+00 -0.145540E+02
-0.118693E+03  0.000000E+00  0.000000E+00 -0.130662E+02
-0.105178E+03  0.000000E+00  0.000000E+00 -0.115784E+02
-0.916626E+02  0.000000E+00  0.000000E+00 -0.100906E+02
-0.781474E+02  0.000000E+00  0.000000E+00 -0.860275E+01
-0.646321E+02  0.000000E+00  0.000000E+00 -0.711494E+01
-0.511169E+02  0.000000E+00  0.000000E+00 -0.562714E+01
-0.376016E+02  0.000000E+00  0.000000E+00 -0.413933E+01
-0.240864E+02  0.000000E+00  0.000000E+00 -0.265152E+01
-0.105712E+02  0.000000E+00  0.000000E+00 -0.116371E+01
 0.294409E+01  0.000000E+00  0.000000E+00  0.324096E+00
 0.164593E+02  0.000000E+00  0.000000E+00  0.181190E+01
 0.299746E+02  0.000000E+00  0.000000E+00  0.329971E+01
 0.434845E+02  0.000000E+00  0.000000E+00  0.478694E+01
 0.569894E+02  0.000000E+00  0.000000E+00  0.627361E+01
 0.704943E+02  0.000000E+00  0.000000E+00  0.776027E+01
 0.839902E+02  0.000000E+00  0.000000E+00  0.924595E+01
 0.974838E+02  0.000000E+00  0.000000E+00  0.107314E+02
 0.110977E+03  0.000000E+00  0.000000E+00  0.122167E+02
 0.124460E+03  0.000000E+00  0.000000E+00  0.137010E+02
 0.137944E+03  0.000000E+00  0.000000E+00  0.151854E+02
