NDF v10.0b 16Jan21 rev 16Jan21 run 09/05/2022 17:05:44 Filename: or010101.datbatch original_file.spc
str original_file.str
file original_file1.dat
geo original_file1.geo
element Co   
 depth(at/cm2) element>0 element depth(nm)
-0.304329E+03 -0.482392E+03  0.000000E+00 -0.393816E+02
-0.294049E+03 -0.482242E+03  0.000000E+00 -0.380514E+02
-0.283770E+03 -0.482091E+03  0.000000E+00 -0.367211E+02
-0.273490E+03 -0.481943E+03  0.000000E+00 -0.353908E+02
-0.263210E+03 -0.481793E+03  0.000000E+00 -0.340605E+02
-0.252930E+03 -0.481644E+03  0.000000E+00 -0.327303E+02
-0.242650E+03 -0.481493E+03  0.000000E+00 -0.314000E+02
-0.232370E+03 -0.481342E+03  0.000000E+00 -0.300697E+02
-0.222090E+03 -0.481188E+03  0.000000E+00 -0.287394E+02
-0.211810E+03 -0.481034E+03  0.000000E+00 -0.274092E+02
-0.201530E+03 -0.480873E+03  0.000000E+00 -0.260789E+02
-0.191250E+03 -0.480706E+03  0.000000E+00 -0.247486E+02
-0.180970E+03 -0.480532E+03  0.000000E+00 -0.234183E+02
-0.170690E+03 -0.480339E+03  0.000000E+00 -0.220881E+02
-0.160410E+03 -0.480126E+03  0.000000E+00 -0.207578E+02
-0.150130E+03 -0.479875E+03  0.000000E+00 -0.194275E+02
-0.139850E+03 -0.479574E+03  0.000000E+00 -0.180972E+02
-0.129570E+03 -0.479196E+03  0.000000E+00 -0.167670E+02
-0.119290E+03 -0.478715E+03  0.000000E+00 -0.154367E+02
-0.109010E+03 -0.478082E+03  0.000000E+00 -0.141064E+02
-0.987301E+02 -0.477247E+03  0.000000E+00 -0.127761E+02
-0.884501E+02 -0.476143E+03  0.000000E+00 -0.114459E+02
-0.781702E+02 -0.474678E+03  0.000000E+00 -0.101156E+02
-0.678902E+02 -0.472751E+03  0.000000E+00 -0.878531E+01
-0.576102E+02 -0.470236E+03  0.000000E+00 -0.745503E+01
-0.473303E+02 -0.466993E+03  0.000000E+00 -0.612475E+01
-0.370503E+02 -0.462859E+03  0.000000E+00 -0.479448E+01
-0.267703E+02 -0.457668E+03  0.000000E+00 -0.346420E+01
-0.164904E+02 -0.451236E+03  0.000000E+00 -0.213393E+01
-0.621040E+01 -0.443393E+03  0.000000E+00 -0.803654E+00
 0.406957E+01 -0.433735E+03  0.000000E+00  0.526621E+00
 0.143495E+02 -0.422599E+03  0.000000E+00  0.185690E+01
 0.246295E+02 -0.409643E+03  0.000000E+00  0.318717E+01
 0.349095E+02 -0.394802E+03  0.000000E+00  0.451745E+01
 0.451799E+02 -0.378433E+03  0.000000E+00  0.584648E+01
 0.554484E+02 -0.359940E+03  0.000000E+00  0.717528E+01
 0.657169E+02 -0.339691E+03  0.000000E+00  0.850407E+01
 0.759822E+02 -0.318061E+03  0.000000E+00  0.983245E+01
 0.862392E+02 -0.295355E+03  0.000000E+00  0.111597E+02
 0.964961E+02 -0.271501E+03  0.000000E+00  0.124870E+02
 0.106753E+03 -0.247127E+03  0.000000E+00  0.138143E+02
 0.117002E+03 -0.222806E+03  0.000000E+00  0.151406E+02
 0.127247E+03 -0.198629E+03  0.000000E+00  0.164664E+02
 0.137493E+03 -0.175044E+03  0.000000E+00  0.177922E+02
 0.147737E+03 -0.152502E+03  0.000000E+00  0.191178E+02
 0.157971E+03 -0.131386E+03  0.000000E+00  0.204422E+02
 0.168205E+03 -0.111702E+03  0.000000E+00  0.217665E+02
 0.178439E+03 -0.937754E+02  0.000000E+00  0.230909E+02
 0.188667E+03 -0.777649E+02  0.000000E+00  0.244144E+02
 0.198890E+03 -0.636349E+02  0.000000E+00  0.257372E+02
 0.209112E+03 -0.513536E+02  0.000000E+00  0.270601E+02
 0.219335E+03 -0.408809E+02  0.000000E+00  0.283830E+02
 0.229546E+03 -0.321325E+02  0.000000E+00  0.297044E+02
 0.239757E+03 -0.248774E+02  0.000000E+00  0.310257E+02
 0.249969E+03 -0.189887E+02  0.000000E+00  0.323471E+02
 0.260175E+03 -0.142937E+02  0.000000E+00  0.336679E+02
 0.270375E+03 -0.106070E+02  0.000000E+00  0.349878E+02
 0.280575E+03 -0.775200E+01  0.000000E+00  0.363077E+02
 0.290775E+03 -0.558249E+01  0.000000E+00  0.376277E+02
 0.300966E+03 -0.396455E+01  0.000000E+00  0.389464E+02
 0.311154E+03 -0.277174E+01  0.000000E+00  0.402648E+02
 0.321343E+03 -0.190845E+01  0.000000E+00  0.415832E+02
 0.331529E+03 -0.129472E+01  0.000000E+00  0.429013E+02
 0.341706E+03 -0.865544E+00  0.000000E+00  0.442183E+02
 0.351883E+03 -0.569356E+00  0.000000E+00  0.455353E+02
 0.362061E+03 -0.368793E+00  0.000000E+00  0.468523E+02
 0.372231E+03 -0.235368E+00  0.000000E+00  0.481684E+02
 0.382397E+03 -0.147838E+00  0.000000E+00  0.494839E+02
 0.392563E+03 -0.913599E-01  0.000000E+00  0.507994E+02
 0.402728E+03 -0.555519E-01  0.000000E+00  0.521149E+02
 0.412883E+03 -0.332512E-01  0.000000E+00  0.534290E+02
 0.423038E+03 -0.195307E-01  0.000000E+00  0.547431E+02
 0.433193E+03 -0.112467E-01  0.000000E+00  0.560572E+02
 0.443343E+03 -0.632724E-02  0.000000E+00  0.573706E+02
 0.453486E+03 -0.344799E-02  0.000000E+00  0.586832E+02
 0.463629E+03 -0.192056E-02  0.000000E+00  0.599958E+02
 0.473772E+03 -0.981773E-03  0.000000E+00  0.613083E+02
 0.483907E+03 -0.456623E-03  0.000000E+00  0.626197E+02
 0.494039E+03 -0.164970E-03  0.000000E+00  0.639309E+02
 0.504171E+03 -0.364145E-05  0.000000E+00  0.652421E+02
 0.514302E+03  0.000000E+00  0.000000E+00  0.665530E+02
 0.524423E+03  0.000000E+00  0.000000E+00  0.678627E+02
 0.534544E+03  0.000000E+00  0.000000E+00  0.691724E+02
 0.544664E+03  0.000000E+00  0.000000E+00  0.704821E+02
 0.554779E+03  0.000000E+00  0.000000E+00  0.717910E+02
 0.564889E+03  0.000000E+00  0.000000E+00  0.730993E+02
 0.575000E+03  0.000000E+00  0.000000E+00  0.744076E+02
 0.585110E+03  0.000000E+00  0.000000E+00  0.757159E+02
 0.595209E+03  0.000000E+00  0.000000E+00  0.770228E+02
 0.605308E+03  0.000000E+00  0.000000E+00  0.783296E+02
 0.615406E+03  0.000000E+00  0.000000E+00  0.796364E+02
 0.625501E+03  0.000000E+00  0.000000E+00  0.809428E+02
 0.635589E+03  0.000000E+00  0.000000E+00  0.822482E+02
 0.645677E+03  0.000000E+00  0.000000E+00  0.835536E+02
 0.655765E+03  0.000000E+00  0.000000E+00  0.848590E+02
 0.665844E+03  0.000000E+00  0.000000E+00  0.861633E+02
 0.675921E+03  0.000000E+00  0.000000E+00  0.874673E+02
 0.685998E+03  0.000000E+00  0.000000E+00  0.887713E+02
 0.696074E+03  0.000000E+00  0.000000E+00  0.900751E+02
 0.706139E+03  0.000000E+00  0.000000E+00  0.913777E+02
 0.716205E+03  0.000000E+00  0.000000E+00  0.926802E+02
 0.726271E+03  0.000000E+00  0.000000E+00  0.939828E+02
 0.736332E+03  0.000000E+00  0.000000E+00  0.952847E+02
 0.746387E+03  0.000000E+00  0.000000E+00  0.965859E+02
 0.756442E+03  0.000000E+00  0.000000E+00  0.978870E+02
 0.766496E+03  0.000000E+00  0.000000E+00  0.991882E+02
 0.776543E+03  0.000000E+00  0.000000E+00  0.100488E+03
 0.786587E+03  0.000000E+00  0.000000E+00  0.101788E+03
 0.796632E+03  0.000000E+00  0.000000E+00  0.103088E+03
 0.806674E+03  0.000000E+00  0.000000E+00  0.104387E+03
 0.816707E+03  0.000000E+00  0.000000E+00  0.105686E+03
 0.826740E+03  0.000000E+00  0.000000E+00  0.106984E+03
 0.836773E+03  0.000000E+00  0.000000E+00  0.108282E+03
 0.846800E+03  0.000000E+00  0.000000E+00  0.109580E+03
 0.856822E+03  0.000000E+00  0.000000E+00  0.110877E+03
 0.866845E+03  0.000000E+00  0.000000E+00  0.112174E+03
 0.876867E+03  0.000000E+00  0.000000E+00  0.113471E+03
 0.886880E+03  0.000000E+00  0.000000E+00  0.114766E+03
 0.896892E+03  0.000000E+00  0.000000E+00  0.116062E+03
 0.906904E+03  0.000000E+00  0.000000E+00  0.117358E+03
 0.916913E+03  0.000000E+00  0.000000E+00  0.118653E+03
 0.926914E+03  0.000000E+00  0.000000E+00  0.119947E+03
 0.936915E+03  0.000000E+00  0.000000E+00  0.121241E+03
 0.946916E+03  0.000000E+00  0.000000E+00  0.122535E+03
 0.956910E+03  0.000000E+00  0.000000E+00  0.123829E+03
 0.966900E+03  0.000000E+00  0.000000E+00  0.125121E+03
 0.976890E+03  0.000000E+00  0.000000E+00  0.126414E+03
