NDF v10.0b 16Jan21 rev 16Jan21 run 09/05/2022 17:05:44 Filename: or010102.datbatch original_file.spc
str original_file.str
file original_file1.dat
geo original_file1.geo
element Pt   
 depth(at/cm2) element>0 element depth(nm)
-0.296286E+03  0.000000E+00  0.000000E+00 -0.383408E+02
-0.286383E+03  0.000000E+00  0.000000E+00 -0.370592E+02
-0.276479E+03  0.000000E+00  0.000000E+00 -0.357777E+02
-0.266575E+03  0.000000E+00  0.000000E+00 -0.344961E+02
-0.256672E+03  0.000000E+00  0.000000E+00 -0.332145E+02
-0.246768E+03  0.000000E+00  0.000000E+00 -0.319329E+02
-0.236865E+03  0.000000E+00  0.000000E+00 -0.306514E+02
-0.226961E+03  0.000000E+00  0.000000E+00 -0.293698E+02
-0.217057E+03  0.000000E+00  0.000000E+00 -0.280882E+02
-0.207154E+03  0.000000E+00  0.000000E+00 -0.268067E+02
-0.197250E+03  0.000000E+00  0.000000E+00 -0.255251E+02
-0.187347E+03  0.000000E+00  0.000000E+00 -0.242435E+02
-0.177443E+03  0.000000E+00  0.000000E+00 -0.229620E+02
-0.167540E+03  0.000000E+00  0.000000E+00 -0.216804E+02
-0.157636E+03  0.000000E+00  0.000000E+00 -0.203988E+02
-0.147732E+03  0.000000E+00  0.000000E+00 -0.191172E+02
-0.137829E+03  0.000000E+00  0.000000E+00 -0.178357E+02
-0.127925E+03  0.000000E+00  0.000000E+00 -0.165541E+02
-0.118022E+03  0.000000E+00  0.000000E+00 -0.152725E+02
-0.108118E+03  0.000000E+00  0.000000E+00 -0.139910E+02
-0.982144E+02  0.000000E+00  0.000000E+00 -0.127094E+02
-0.883108E+02  0.000000E+00  0.000000E+00 -0.114278E+02
-0.784072E+02  0.000000E+00  0.000000E+00 -0.101463E+02
-0.685036E+02  0.000000E+00  0.000000E+00 -0.886469E+01
-0.586001E+02  0.000000E+00  0.000000E+00 -0.758312E+01
-0.486965E+02  0.000000E+00  0.000000E+00 -0.630155E+01
-0.387929E+02  0.000000E+00  0.000000E+00 -0.501998E+01
-0.288893E+02  0.000000E+00  0.000000E+00 -0.373841E+01
-0.189857E+02  0.000000E+00  0.000000E+00 -0.245684E+01
-0.908212E+01  0.000000E+00  0.000000E+00 -0.117527E+01
 0.821471E+00  0.000000E+00  0.000000E+00  0.106302E+00
 0.107251E+02  0.000000E+00  0.000000E+00  0.138787E+01
 0.206286E+02  0.000000E+00  0.000000E+00  0.266944E+01
 0.305322E+02  0.000000E+00  0.000000E+00  0.395101E+01
 0.404312E+02  0.000000E+00  0.000000E+00  0.523199E+01
 0.503231E+02  0.000000E+00  0.000000E+00  0.651204E+01
 0.602149E+02  0.000000E+00  0.000000E+00  0.779208E+01
 0.701067E+02  0.000000E+00  0.000000E+00  0.907213E+01
 0.799904E+02  0.000000E+00  0.000000E+00  0.103511E+02
 0.898705E+02  0.000000E+00  0.000000E+00  0.116297E+02
 0.997506E+02  0.000000E+00  0.000000E+00  0.129082E+02
 0.109631E+03  0.000000E+00  0.000000E+00  0.141867E+02
 0.119500E+03  0.000000E+00  0.000000E+00  0.154638E+02
 0.129368E+03  0.000000E+00  0.000000E+00  0.167408E+02
 0.139237E+03  0.000000E+00  0.000000E+00  0.180179E+02
 0.149102E+03  0.000000E+00  0.000000E+00  0.192945E+02
 0.158959E+03  0.000000E+00  0.000000E+00  0.205701E+02
 0.168816E+03  0.000000E+00  0.000000E+00  0.218456E+02
 0.178673E+03  0.000000E+00  0.000000E+00  0.231212E+02
 0.188524E+03  0.000000E+00  0.000000E+00  0.243959E+02
 0.198369E+03  0.000000E+00  0.000000E+00  0.256699E+02
 0.208215E+03  0.000000E+00  0.000000E+00  0.269440E+02
 0.218060E+03  0.000000E+00  0.000000E+00  0.282180E+02
 0.227896E+03  0.000000E+00  0.000000E+00  0.294908E+02
 0.237730E+03  0.000000E+00  0.000000E+00  0.307633E+02
 0.247564E+03  0.000000E+00  0.000000E+00  0.320359E+02
 0.257396E+03  0.000000E+00  0.000000E+00  0.333082E+02
 0.267218E+03  0.000000E+00  0.000000E+00  0.345793E+02
 0.277040E+03  0.000000E+00  0.000000E+00  0.358503E+02
 0.286862E+03  0.000000E+00  0.000000E+00  0.371213E+02
 0.296680E+03  0.000000E+00  0.000000E+00  0.383917E+02
 0.306491E+03  0.000000E+00  0.000000E+00  0.396613E+02
 0.316301E+03  0.000000E+00  0.000000E+00  0.409308E+02
 0.326112E+03  0.000000E+00  0.000000E+00  0.422004E+02
 0.335915E+03  0.000000E+00  0.000000E+00  0.434690E+02
 0.345714E+03  0.000000E+00  0.000000E+00  0.447370E+02
 0.355514E+03  0.000000E+00  0.000000E+00  0.460051E+02
 0.365313E+03  0.000000E+00  0.000000E+00  0.472732E+02
 0.375101E+03  0.000000E+00  0.000000E+00  0.485398E+02
 0.384889E+03  0.000000E+00  0.000000E+00  0.498064E+02
 0.394676E+03  0.000000E+00  0.000000E+00  0.510730E+02
 0.404462E+03  0.000000E+00  0.000000E+00  0.523392E+02
 0.414237E+03  0.000000E+00  0.000000E+00  0.536042E+02
 0.424013E+03  0.000000E+00  0.000000E+00  0.548693E+02
 0.433789E+03  0.000000E+00  0.000000E+00  0.561343E+02
 0.443560E+03  0.000000E+00  0.000000E+00  0.573987E+02
 0.453324E+03  0.000000E+00  0.000000E+00  0.586622E+02
 0.463088E+03  0.000000E+00  0.000000E+00  0.599258E+02
 0.472853E+03  0.000000E+00  0.000000E+00  0.611893E+02
 0.482609E+03  0.000000E+00  0.000000E+00  0.624518E+02
 0.492362E+03  0.000000E+00  0.000000E+00  0.637139E+02
 0.502115E+03  0.000000E+00  0.000000E+00  0.649760E+02
 0.511868E+03  0.000000E+00  0.000000E+00  0.662380E+02
 0.521609E+03  0.000000E+00  0.000000E+00  0.674986E+02
 0.531350E+03  0.000000E+00  0.000000E+00  0.687591E+02
 0.541091E+03  0.000000E+00  0.000000E+00  0.700196E+02
 0.550829E+03  0.000000E+00  0.000000E+00  0.712799E+02
 0.560560E+03  0.000000E+00  0.000000E+00  0.725390E+02
 0.570290E+03  0.000000E+00  0.000000E+00  0.737982E+02
 0.580021E+03  0.000000E+00  0.000000E+00  0.750574E+02
 0.589746E+03  0.000000E+00  0.000000E+00  0.763158E+02
 0.599464E+03  0.000000E+00  0.000000E+00  0.775734E+02
 0.609182E+03  0.000000E+00  0.000000E+00  0.788310E+02
 0.618900E+03  0.000000E+00  0.000000E+00  0.800885E+02
 0.628610E+03  0.000000E+00  0.000000E+00  0.813451E+02
 0.638317E+03  0.000000E+00  0.000000E+00  0.826012E+02
 0.648024E+03  0.000000E+00  0.000000E+00  0.838573E+02
 0.657730E+03  0.000000E+00  0.000000E+00  0.851133E+02
 0.667427E+03  0.000000E+00  0.000000E+00  0.863681E+02
 0.677122E+03  0.000000E+00  0.000000E+00  0.876227E+02
 0.686817E+03  0.000000E+00  0.000000E+00  0.888773E+02
 0.696511E+03  0.000000E+00  0.000000E+00  0.901317E+02
 0.706194E+03  0.000000E+00  0.000000E+00  0.913848E+02
 0.715877E+03  0.000000E+00  0.000000E+00  0.926378E+02
 0.725560E+03  0.000000E+00  0.000000E+00  0.938908E+02
 0.735240E+03  0.000000E+00  0.000000E+00  0.951434E+02
 0.744912E+03  0.000000E+00  0.000000E+00  0.963951E+02
 0.754585E+03  0.000000E+00  0.000000E+00  0.976467E+02
 0.764257E+03  0.000000E+00  0.000000E+00  0.988984E+02
 0.773922E+03  0.000000E+00  0.000000E+00  0.100149E+03
 0.783583E+03  0.000000E+00  0.000000E+00  0.101399E+03
 0.793243E+03  0.000000E+00  0.000000E+00  0.102649E+03
 0.802903E+03  0.000000E+00  0.000000E+00  0.103899E+03
 0.812555E+03  0.000000E+00  0.000000E+00  0.105148E+03
 0.822204E+03  0.000000E+00  0.000000E+00  0.106397E+03
 0.831854E+03  0.000000E+00  0.000000E+00  0.107646E+03
 0.841503E+03  0.000000E+00  0.000000E+00  0.108894E+03
 0.851140E+03  0.000000E+00  0.000000E+00  0.110141E+03
 0.860778E+03  0.000000E+00  0.000000E+00  0.111389E+03
 0.870415E+03  0.000000E+00  0.000000E+00  0.112636E+03
 0.880050E+03  0.000000E+00  0.000000E+00  0.113883E+03
 0.889677E+03  0.000000E+00  0.000000E+00  0.115128E+03
 0.899303E+03  0.000000E+00  0.000000E+00  0.116374E+03
 0.908929E+03  0.000000E+00  0.000000E+00  0.117620E+03
 0.918551E+03  0.000000E+00  0.000000E+00  0.118865E+03
 0.928166E+03  0.000000E+00  0.000000E+00  0.120109E+03
 0.937781E+03  0.000000E+00  0.000000E+00  0.121353E+03
 0.947396E+03  0.000000E+00  0.000000E+00  0.122597E+03
 0.957004E+03  0.000000E+00  0.000000E+00  0.123841E+03
 0.966607E+03  0.000000E+00  0.000000E+00  0.125083E+03
 0.976210E+03  0.000000E+00  0.000000E+00  0.126326E+03
 0.985812E+03  0.000000E+00  0.000000E+00  0.127569E+03
 0.995407E+03  0.000000E+00  0.000000E+00  0.128810E+03
 0.100500E+04  0.000000E+00  0.000000E+00  0.130052E+03
 0.101459E+04  0.000000E+00  0.000000E+00  0.131293E+03
 0.102418E+04  0.000000E+00  0.000000E+00  0.132534E+03
 0.103376E+04  0.000000E+00  0.000000E+00  0.133774E+03
 0.104334E+04  0.000000E+00  0.000000E+00  0.135013E+03
 0.105292E+04  0.000000E+00  0.000000E+00  0.136253E+03
 0.106250E+04  0.000000E+00  0.000000E+00  0.137492E+03
 0.107207E+04  0.000000E+00  0.000000E+00  0.138731E+03
 0.108164E+04  0.000000E+00  0.000000E+00  0.139969E+03
 0.109121E+04  0.000000E+00  0.000000E+00  0.141208E+03
 0.110078E+04  0.000000E+00  0.000000E+00  0.142445E+03
 0.111033E+04  0.000000E+00  0.000000E+00  0.143682E+03
 0.111989E+04  0.000000E+00  0.000000E+00  0.144919E+03
 0.112945E+04  0.000000E+00  0.000000E+00  0.146155E+03
 0.113900E+04  0.000000E+00  0.000000E+00  0.147391E+03
 0.114854E+04  0.000000E+00  0.000000E+00  0.148627E+03
 0.115809E+04  0.000000E+00  0.000000E+00  0.149862E+03
 0.116764E+04  0.000000E+00  0.000000E+00  0.151098E+03
 0.117718E+04  0.000000E+00  0.000000E+00  0.152332E+03
 0.118671E+04 -0.103871E-05  0.000000E+00  0.153566E+03
 0.119625E+04 -0.612857E-05  0.000000E+00  0.154800E+03
 0.120578E+04 -0.217013E-04  0.000000E+00  0.156034E+03
 0.121531E+04 -0.660131E-04  0.000000E+00  0.157266E+03
 0.122483E+04 -0.186101E-03  0.000000E+00  0.158499E+03
 0.123435E+04 -0.485048E-03  0.000000E+00  0.159731E+03
 0.124388E+04 -0.119827E-02  0.000000E+00  0.160963E+03
 0.125339E+04 -0.281283E-02  0.000000E+00  0.162194E+03
 0.126290E+04 -0.626325E-02  0.000000E+00  0.163425E+03
 0.127241E+04 -0.132522E-01  0.000000E+00  0.164656E+03
 0.128192E+04 -0.266623E-01  0.000000E+00  0.165887E+03
 0.129142E+04 -0.510705E-01  0.000000E+00  0.167116E+03
 0.130092E+04 -0.930065E-01  0.000000E+00  0.168346E+03
 0.131042E+04 -0.161316E+00  0.000000E+00  0.169575E+03
 0.131992E+04 -0.266787E+00  0.000000E+00  0.170804E+03
 0.132941E+04 -0.421100E+00  0.000000E+00  0.172032E+03
 0.133890E+04 -0.634326E+00  0.000000E+00  0.173260E+03
 0.134839E+04 -0.913680E+00  0.000000E+00  0.174488E+03
