NDF v10.0b 16Jan21 rev 16Jan21 run 09/05/2022 17:05:44 Filename: or010103.datbatch original_file.spc
str original_file.str
file original_file1.dat
geo original_file1.geo
element Si   
 depth(at/cm2) element>0 element depth(nm)
-0.322749E+03 -0.392142E+02  0.000000E+00 -0.417651E+02
-0.311912E+03 -0.323512E+02  0.000000E+00 -0.403628E+02
-0.301075E+03 -0.263042E+02  0.000000E+00 -0.389604E+02
-0.290238E+03 -0.210727E+02  0.000000E+00 -0.375581E+02
-0.279401E+03 -0.166287E+02  0.000000E+00 -0.361557E+02
-0.268564E+03 -0.129221E+02  0.000000E+00 -0.347534E+02
-0.257727E+03 -0.988673E+01  0.000000E+00 -0.333510E+02
-0.246890E+03 -0.744607E+01  0.000000E+00 -0.319487E+02
-0.236053E+03 -0.551919E+01  0.000000E+00 -0.305463E+02
-0.225216E+03 -0.402558E+01  0.000000E+00 -0.291440E+02
-0.214379E+03 -0.288879E+01  0.000000E+00 -0.277416E+02
-0.203542E+03 -0.203928E+01  0.000000E+00 -0.263392E+02
-0.192705E+03 -0.141597E+01  0.000000E+00 -0.249369E+02
-0.181868E+03 -0.966990E+00  0.000000E+00 -0.235345E+02
-0.171031E+03 -0.649365E+00  0.000000E+00 -0.221322E+02
-0.160194E+03 -0.428775E+00  0.000000E+00 -0.207298E+02
-0.149357E+03 -0.278353E+00  0.000000E+00 -0.193275E+02
-0.138520E+03 -0.177641E+00  0.000000E+00 -0.179251E+02
-0.127683E+03 -0.111434E+00  0.000000E+00 -0.165228E+02
-0.116846E+03 -0.687003E-01  0.000000E+00 -0.151204E+02
-0.106009E+03 -0.416170E-01  0.000000E+00 -0.137181E+02
-0.951721E+02 -0.247635E-01  0.000000E+00 -0.123157E+02
-0.843351E+02 -0.144653E-01  0.000000E+00 -0.109134E+02
-0.734981E+02 -0.828618E-02  0.000000E+00 -0.951100E+01
-0.626612E+02 -0.464482E-02  0.000000E+00 -0.810864E+01
-0.518242E+02 -0.253690E-02  0.000000E+00 -0.670629E+01
-0.409872E+02 -0.139001E-02  0.000000E+00 -0.530394E+01
-0.301502E+02 -0.721680E-03  0.000000E+00 -0.390158E+01
-0.193133E+02 -0.354500E-03  0.000000E+00 -0.249923E+01
-0.847631E+01 -0.155684E-03  0.000000E+00 -0.109687E+01
 0.236067E+01 -0.491525E-04  0.000000E+00  0.305481E+00
 0.131976E+02  0.000000E+00  0.000000E+00  0.170784E+01
 0.240346E+02  0.000000E+00  0.000000E+00  0.311019E+01
 0.348716E+02  0.000000E+00  0.000000E+00  0.451254E+01
 0.457008E+02  0.000000E+00  0.000000E+00  0.591390E+01
 0.565286E+02  0.000000E+00  0.000000E+00  0.731506E+01
 0.673564E+02  0.000000E+00  0.000000E+00  0.871622E+01
 0.781799E+02  0.000000E+00  0.000000E+00  0.101168E+02
 0.889985E+02  0.000000E+00  0.000000E+00  0.115168E+02
 0.998170E+02  0.000000E+00  0.000000E+00  0.129168E+02
 0.110635E+03  0.000000E+00  0.000000E+00  0.143167E+02
 0.121445E+03  0.000000E+00  0.000000E+00  0.157155E+02
 0.132255E+03  0.000000E+00  0.000000E+00  0.171144E+02
 0.143065E+03  0.000000E+00  0.000000E+00  0.185133E+02
 0.153869E+03  0.000000E+00  0.000000E+00  0.199113E+02
 0.164670E+03  0.000000E+00  0.000000E+00  0.213090E+02
 0.175471E+03  0.000000E+00  0.000000E+00  0.227067E+02
 0.186269E+03  0.000000E+00  0.000000E+00  0.241041E+02
 0.197061E+03  0.000000E+00  0.000000E+00  0.255006E+02
 0.207853E+03  0.000000E+00  0.000000E+00  0.268971E+02
 0.218645E+03  0.000000E+00  0.000000E+00  0.282936E+02
 0.229429E+03  0.000000E+00  0.000000E+00  0.296892E+02
 0.240213E+03  0.000000E+00  0.000000E+00  0.310847E+02
 0.250997E+03  0.000000E+00  0.000000E+00  0.324801E+02
 0.261776E+03  0.000000E+00  0.000000E+00  0.338750E+02
 0.272551E+03  0.000000E+00  0.000000E+00  0.352694E+02
 0.283327E+03  0.000000E+00  0.000000E+00  0.366638E+02
 0.294101E+03  0.000000E+00  0.000000E+00  0.380580E+02
 0.304868E+03  0.000000E+00  0.000000E+00  0.394513E+02
 0.315634E+03  0.000000E+00  0.000000E+00  0.408446E+02
 0.326401E+03  0.000000E+00  0.000000E+00  0.422378E+02
 0.337162E+03  0.000000E+00  0.000000E+00  0.436303E+02
 0.347921E+03  0.000000E+00  0.000000E+00  0.450226E+02
 0.358680E+03  0.000000E+00  0.000000E+00  0.464148E+02
 0.369435E+03  0.000000E+00  0.000000E+00  0.478067E+02
 0.380186E+03  0.000000E+00  0.000000E+00  0.491978E+02
 0.390936E+03  0.000000E+00  0.000000E+00  0.505889E+02
 0.401686E+03  0.000000E+00  0.000000E+00  0.519800E+02
 0.412428E+03  0.000000E+00  0.000000E+00  0.533702E+02
 0.423171E+03  0.000000E+00  0.000000E+00  0.547602E+02
 0.433913E+03  0.000000E+00  0.000000E+00  0.561503E+02
 0.444651E+03  0.000000E+00  0.000000E+00  0.575399E+02
 0.455386E+03  0.000000E+00  0.000000E+00  0.589291E+02
 0.466121E+03  0.000000E+00  0.000000E+00  0.603182E+02
 0.476855E+03  0.000000E+00  0.000000E+00  0.617072E+02
 0.487581E+03  0.000000E+00  0.000000E+00  0.630953E+02
 0.498307E+03  0.000000E+00  0.000000E+00  0.644833E+02
 0.509034E+03  0.000000E+00  0.000000E+00  0.658713E+02
 0.519755E+03  0.000000E+00  0.000000E+00  0.672587E+02
 0.530475E+03  0.000000E+00  0.000000E+00  0.686459E+02
 0.541194E+03  0.000000E+00  0.000000E+00  0.700330E+02
 0.551911E+03  0.000000E+00  0.000000E+00  0.714199E+02
 0.562623E+03  0.000000E+00  0.000000E+00  0.728061E+02
 0.573335E+03  0.000000E+00  0.000000E+00  0.741922E+02
 0.584047E+03  0.000000E+00  0.000000E+00  0.755784E+02
 0.594752E+03  0.000000E+00  0.000000E+00  0.769637E+02
 0.605456E+03  0.000000E+00  0.000000E+00  0.783488E+02
 0.616160E+03  0.000000E+00  0.000000E+00  0.797340E+02
 0.626861E+03  0.000000E+00  0.000000E+00  0.811187E+02
 0.637558E+03  0.000000E+00  0.000000E+00  0.825030E+02
 0.648255E+03  0.000000E+00  0.000000E+00  0.838873E+02
 0.658952E+03  0.000000E+00  0.000000E+00  0.852715E+02
 0.669642E+03  0.000000E+00  0.000000E+00  0.866547E+02
 0.680331E+03  0.000000E+00  0.000000E+00  0.880380E+02
 0.691021E+03  0.000000E+00  0.000000E+00  0.894213E+02
 0.701707E+03  0.000000E+00  0.000000E+00  0.908041E+02
 0.712390E+03  0.000000E+00  0.000000E+00  0.921866E+02
 0.723074E+03  0.000000E+00  0.000000E+00  0.935691E+02
 0.733756E+03  0.000000E+00  0.000000E+00  0.949514E+02
 0.744432E+03  0.000000E+00  0.000000E+00  0.963330E+02
 0.755108E+03  0.000000E+00  0.000000E+00  0.977145E+02
 0.765784E+03  0.000000E+00  0.000000E+00  0.990960E+02
 0.776456E+03  0.000000E+00  0.000000E+00  0.100477E+03
 0.787127E+03  0.000000E+00  0.000000E+00  0.101858E+03
 0.797798E+03  0.000000E+00  0.000000E+00  0.103239E+03
 0.808466E+03  0.000000E+00  0.000000E+00  0.104619E+03
 0.819130E+03  0.000000E+00  0.000000E+00  0.105999E+03
 0.829793E+03  0.000000E+00  0.000000E+00  0.107379E+03
 0.840456E+03  0.000000E+00  0.000000E+00  0.108759E+03
 0.851113E+03  0.000000E+00  0.000000E+00  0.110138E+03
 0.861770E+03  0.000000E+00  0.000000E+00  0.111517E+03
 0.872427E+03  0.000000E+00  0.000000E+00  0.112896E+03
 0.883081E+03  0.000000E+00  0.000000E+00  0.114275E+03
 0.893732E+03  0.000000E+00  0.000000E+00  0.115653E+03
 0.904383E+03  0.000000E+00  0.000000E+00  0.117031E+03
 0.915033E+03  0.000000E+00  0.000000E+00  0.118410E+03
 0.925679E+03  0.000000E+00  0.000000E+00  0.119787E+03
 0.936324E+03  0.000000E+00  0.000000E+00  0.121165E+03
 0.946970E+03  0.000000E+00  0.000000E+00  0.122542E+03
 0.957612E+03  0.000000E+00  0.000000E+00  0.123919E+03
 0.968252E+03  0.000000E+00  0.000000E+00  0.125296E+03
 0.978892E+03  0.000000E+00  0.000000E+00  0.126673E+03
 0.989531E+03  0.000000E+00  0.000000E+00  0.128050E+03
 0.100016E+04  0.000000E+00  0.000000E+00  0.129426E+03
 0.101080E+04  0.000000E+00  0.000000E+00  0.130802E+03
 0.102143E+04  0.000000E+00  0.000000E+00  0.132178E+03
 0.103206E+04  0.000000E+00  0.000000E+00  0.133553E+03
 0.104269E+04  0.000000E+00  0.000000E+00  0.134929E+03
 0.105332E+04  0.000000E+00  0.000000E+00  0.136304E+03
 0.106395E+04  0.000000E+00  0.000000E+00  0.137680E+03
 0.107457E+04  0.000000E+00  0.000000E+00  0.139054E+03
 0.108519E+04  0.000000E+00  0.000000E+00  0.140429E+03
 0.109582E+04  0.000000E+00  0.000000E+00  0.141804E+03
 0.110644E+04  0.000000E+00  0.000000E+00  0.143178E+03
 0.111705E+04  0.000000E+00  0.000000E+00  0.144552E+03
 0.112767E+04  0.000000E+00  0.000000E+00  0.145926E+03
 0.113829E+04  0.000000E+00  0.000000E+00  0.147300E+03
 0.114890E+04  0.000000E+00  0.000000E+00  0.148673E+03
 0.115952E+04  0.000000E+00  0.000000E+00  0.150047E+03
 0.117013E+04  0.000000E+00  0.000000E+00  0.151420E+03
 0.118074E+04  0.000000E+00  0.000000E+00  0.152793E+03
 0.119135E+04  0.000000E+00  0.000000E+00  0.154166E+03
 0.120196E+04  0.000000E+00  0.000000E+00  0.155539E+03
 0.121257E+04  0.000000E+00  0.000000E+00  0.156912E+03
 0.122317E+04  0.000000E+00  0.000000E+00  0.158284E+03
 0.123378E+04  0.000000E+00  0.000000E+00  0.159656E+03
 0.124438E+04  0.000000E+00  0.000000E+00  0.161029E+03
 0.125498E+04  0.000000E+00  0.000000E+00  0.162401E+03
 0.126558E+04  0.000000E+00  0.000000E+00  0.163773E+03
 0.127619E+04  0.000000E+00  0.000000E+00  0.165144E+03
 0.128679E+04  0.000000E+00  0.000000E+00  0.166516E+03
 0.129738E+04  0.000000E+00  0.000000E+00  0.167887E+03
 0.130798E+04  0.000000E+00  0.000000E+00  0.169259E+03
 0.131858E+04  0.000000E+00  0.000000E+00  0.170630E+03
 0.132917E+04  0.000000E+00  0.000000E+00  0.172001E+03
 0.133976E+04  0.000000E+00  0.000000E+00  0.173372E+03
 0.135036E+04  0.000000E+00  0.000000E+00  0.174743E+03
 0.136095E+04  0.000000E+00  0.000000E+00  0.176113E+03
 0.137154E+04  0.000000E+00  0.000000E+00  0.177484E+03
 0.138213E+04  0.000000E+00  0.000000E+00  0.178854E+03
 0.139272E+04  0.000000E+00  0.000000E+00  0.180224E+03
 0.140331E+04  0.000000E+00  0.000000E+00  0.181594E+03
 0.141389E+04  0.000000E+00  0.000000E+00  0.182964E+03
 0.142448E+04  0.000000E+00  0.000000E+00  0.184334E+03
 0.143507E+04  0.000000E+00  0.000000E+00  0.185704E+03
 0.144565E+04  0.000000E+00  0.000000E+00  0.187074E+03
 0.145624E+04  0.000000E+00  0.000000E+00  0.188444E+03
 0.146682E+04  0.000000E+00  0.000000E+00  0.189813E+03
 0.147740E+04  0.000000E+00  0.000000E+00  0.191183E+03
 0.148798E+04  0.000000E+00  0.000000E+00  0.192552E+03
 0.149857E+04  0.000000E+00  0.000000E+00  0.193921E+03
 0.151981E+04  0.000000E+00  0.000000E+00  0.198607E+03
 0.154272E+04  0.000000E+00  0.000000E+00  0.203661E+03
 0.156563E+04  0.000000E+00  0.000000E+00  0.208716E+03
 0.158853E+04  0.000000E+00  0.000000E+00  0.213766E+03
 0.161142E+04  0.000000E+00  0.000000E+00  0.218815E+03
 0.163430E+04  0.000000E+00  0.000000E+00  0.223864E+03
 0.165718E+04  0.000000E+00  0.000000E+00  0.228910E+03
 0.168005E+04  0.000000E+00  0.000000E+00  0.233954E+03
 0.170291E+04  0.000000E+00  0.000000E+00  0.238998E+03
 0.172577E+04  0.000000E+00  0.000000E+00  0.244041E+03
 0.174862E+04  0.000000E+00  0.000000E+00  0.249080E+03
 0.177146E+04  0.000000E+00  0.000000E+00  0.254119E+03
 0.179431E+04  0.000000E+00  0.000000E+00  0.259158E+03
 0.181713E+04  0.000000E+00  0.000000E+00  0.264192E+03
 0.183995E+04  0.000000E+00  0.000000E+00  0.269227E+03
 0.186277E+04  0.000000E+00  0.000000E+00  0.274261E+03
 0.188558E+04  0.000000E+00  0.000000E+00  0.279291E+03
 0.190838E+04  0.000000E+00  0.000000E+00  0.284321E+03
 0.193118E+04  0.000000E+00  0.000000E+00  0.289350E+03
 0.195396E+04  0.000000E+00  0.000000E+00  0.294377E+03
 0.197675E+04  0.000000E+00  0.000000E+00  0.299402E+03
 0.199953E+04  0.000000E+00  0.000000E+00  0.304427E+03
 0.202230E+04  0.000000E+00  0.000000E+00  0.309451E+03
 0.204506E+04  0.000000E+00  0.000000E+00  0.314471E+03
 0.206782E+04  0.000000E+00  0.000000E+00  0.319492E+03
 0.209057E+04  0.000000E+00  0.000000E+00  0.324511E+03
 0.211331E+04  0.000000E+00  0.000000E+00  0.329527E+03
 0.213605E+04  0.000000E+00  0.000000E+00  0.334544E+03
 0.215879E+04  0.000000E+00  0.000000E+00  0.339560E+03
 0.218151E+04  0.000000E+00  0.000000E+00  0.344572E+03
 0.220424E+04  0.000000E+00  0.000000E+00  0.349584E+03
 0.222696E+04  0.000000E+00  0.000000E+00  0.354596E+03
 0.224966E+04  0.000000E+00  0.000000E+00  0.359604E+03
 0.227236E+04  0.000000E+00  0.000000E+00  0.364611E+03
 0.229506E+04  0.000000E+00  0.000000E+00  0.369618E+03
 0.231775E+04  0.000000E+00  0.000000E+00  0.374623E+03
 0.234043E+04  0.000000E+00  0.000000E+00  0.379627E+03
 0.236311E+04  0.000000E+00  0.000000E+00  0.384631E+03
 0.238579E+04  0.000000E+00  0.000000E+00  0.389633E+03
 0.240846E+04  0.000000E+00  0.000000E+00  0.394633E+03
 0.243113E+04  0.000000E+00  0.000000E+00  0.399633E+03
 0.245379E+04  0.000000E+00  0.000000E+00  0.404633E+03
 0.247644E+04  0.000000E+00  0.000000E+00  0.409629E+03
 0.249909E+04  0.000000E+00  0.000000E+00  0.414624E+03
 0.252173E+04  0.000000E+00  0.000000E+00  0.419620E+03
 0.254437E+04  0.000000E+00  0.000000E+00  0.424612E+03
 0.256699E+04  0.000000E+00  0.000000E+00  0.429604E+03
 0.258962E+04  0.000000E+00  0.000000E+00  0.434596E+03
 0.261224E+04  0.000000E+00  0.000000E+00  0.439586E+03
 0.263486E+04  0.000000E+00  0.000000E+00  0.444574E+03
 0.265747E+04  0.000000E+00  0.000000E+00  0.449563E+03
 0.268008E+04  0.000000E+00  0.000000E+00  0.454550E+03
 0.270268E+04  0.000000E+00  0.000000E+00  0.459536E+03
 0.272528E+04  0.000000E+00  0.000000E+00  0.464521E+03
 0.274788E+04  0.000000E+00  0.000000E+00  0.469506E+03
 0.277047E+04  0.000000E+00  0.000000E+00  0.474487E+03
 0.279305E+04  0.000000E+00  0.000000E+00  0.479469E+03
 0.281563E+04  0.000000E+00  0.000000E+00  0.484450E+03
 0.283820E+04  0.000000E+00  0.000000E+00  0.489429E+03
 0.286077E+04  0.000000E+00  0.000000E+00  0.494408E+03
 0.288334E+04  0.000000E+00  0.000000E+00  0.499387E+03
 0.290590E+04  0.000000E+00  0.000000E+00  0.504363E+03
 0.292846E+04  0.000000E+00  0.000000E+00  0.509339E+03
 0.295102E+04  0.000000E+00  0.000000E+00  0.514315E+03
 0.297357E+04  0.000000E+00  0.000000E+00  0.519289E+03
 0.299611E+04  0.000000E+00  0.000000E+00  0.524262E+03
 0.301865E+04  0.000000E+00  0.000000E+00  0.529234E+03
 0.304119E+04  0.000000E+00  0.000000E+00  0.534206E+03
 0.306372E+04  0.000000E+00  0.000000E+00  0.539176E+03
 0.308625E+04  0.000000E+00  0.000000E+00  0.544146E+03
 0.310878E+04  0.000000E+00  0.000000E+00  0.549116E+03
 0.313130E+04  0.000000E+00  0.000000E+00  0.554084E+03
 0.315382E+04  0.000000E+00  0.000000E+00  0.559051E+03
 0.317634E+04  0.000000E+00  0.000000E+00  0.564018E+03
 0.319885E+04  0.000000E+00  0.000000E+00  0.568984E+03
 0.322136E+04  0.000000E+00  0.000000E+00  0.573949E+03
 0.324386E+04  0.000000E+00  0.000000E+00  0.578913E+03
 0.326637E+04  0.000000E+00  0.000000E+00  0.583877E+03
 0.328886E+04  0.000000E+00  0.000000E+00  0.588840E+03
 0.331136E+04  0.000000E+00  0.000000E+00  0.593802E+03
 0.333386E+04  0.000000E+00  0.000000E+00  0.598765E+03
 0.335634E+04  0.000000E+00  0.000000E+00  0.603725E+03
 0.337883E+04  0.000000E+00  0.000000E+00  0.608686E+03
 0.340132E+04  0.000000E+00  0.000000E+00  0.613646E+03
 0.342380E+04  0.000000E+00  0.000000E+00  0.618605E+03
 0.344628E+04  0.000000E+00  0.000000E+00  0.623564E+03
 0.346876E+04  0.000000E+00  0.000000E+00  0.628522E+03
 0.349123E+04  0.000000E+00  0.000000E+00  0.633480E+03
 0.351371E+04  0.000000E+00  0.000000E+00  0.638437E+03
 0.353618E+04  0.000000E+00  0.000000E+00  0.643394E+03
 0.355865E+04  0.000000E+00  0.000000E+00  0.648351E+03
 0.358111E+04  0.000000E+00  0.000000E+00  0.653305E+03
 0.360357E+04  0.000000E+00  0.000000E+00  0.658260E+03
 0.362603E+04  0.000000E+00  0.000000E+00  0.663215E+03
 0.364849E+04  0.000000E+00  0.000000E+00  0.668169E+03
 0.367095E+04  0.000000E+00  0.000000E+00  0.673123E+03
 0.369340E+04  0.000000E+00  0.000000E+00  0.678077E+03
 0.371586E+04  0.000000E+00  0.000000E+00  0.683029E+03
 0.373831E+04  0.000000E+00  0.000000E+00  0.687982E+03
 0.376076E+04  0.000000E+00  0.000000E+00  0.692935E+03
 0.378321E+04  0.000000E+00  0.000000E+00  0.697886E+03
 0.380565E+04  0.000000E+00  0.000000E+00  0.702838E+03
 0.382810E+04  0.000000E+00  0.000000E+00  0.707789E+03
 0.385054E+04  0.000000E+00  0.000000E+00  0.712740E+03
 0.387299E+04  0.000000E+00  0.000000E+00  0.717691E+03
 0.389543E+04  0.000000E+00  0.000000E+00  0.722642E+03
 0.391788E+04  0.000000E+00  0.000000E+00  0.727593E+03
 0.394032E+04  0.000000E+00  0.000000E+00  0.732543E+03
 0.396276E+04  0.000000E+00  0.000000E+00  0.737493E+03
 0.398520E+04  0.000000E+00  0.000000E+00  0.742443E+03
 0.400763E+04  0.000000E+00  0.000000E+00  0.747392E+03
 0.403007E+04  0.000000E+00  0.000000E+00  0.752342E+03
 0.405251E+04  0.000000E+00  0.000000E+00  0.757292E+03
 0.407495E+04  0.000000E+00  0.000000E+00  0.762242E+03
 0.409739E+04  0.000000E+00  0.000000E+00  0.767191E+03
 0.411983E+04  0.000000E+00  0.000000E+00  0.772141E+03
 0.414226E+04  0.000000E+00  0.000000E+00  0.777090E+03
 0.416470E+04  0.000000E+00  0.000000E+00  0.782040E+03
 0.418714E+04  0.000000E+00  0.000000E+00  0.786989E+03
 0.420958E+04  0.000000E+00  0.000000E+00  0.791938E+03
 0.423202E+04  0.000000E+00  0.000000E+00  0.796888E+03
 0.425446E+04  0.000000E+00  0.000000E+00  0.801838E+03
 0.427689E+04  0.000000E+00  0.000000E+00  0.806788E+03
 0.429933E+04  0.000000E+00  0.000000E+00  0.811738E+03
 0.432177E+04  0.000000E+00  0.000000E+00  0.816688E+03
 0.434421E+04  0.000000E+00  0.000000E+00  0.821638E+03
 0.436666E+04  0.000000E+00  0.000000E+00  0.826588E+03
 0.438910E+04  0.000000E+00  0.000000E+00  0.831539E+03
 0.441155E+04  0.000000E+00  0.000000E+00  0.836491E+03
 0.443399E+04  0.000000E+00  0.000000E+00  0.841442E+03
 0.445644E+04  0.000000E+00  0.000000E+00  0.846393E+03
 0.447888E+04  0.000000E+00  0.000000E+00  0.851345E+03
 0.450106E+04  0.000000E+00  0.000000E+00  0.855783E+03
 0.451893E+04  0.000000E+00  0.000000E+00  0.859359E+03
 0.453679E+04  0.000000E+00  0.000000E+00  0.862935E+03
 0.455466E+04  0.000000E+00  0.000000E+00  0.866511E+03
 0.457252E+04  0.000000E+00  0.000000E+00  0.870087E+03
 0.459039E+04  0.000000E+00  0.000000E+00  0.873663E+03
 0.460825E+04  0.000000E+00  0.000000E+00  0.877238E+03
 0.462611E+04  0.000000E+00  0.000000E+00  0.880814E+03
 0.464397E+04  0.000000E+00  0.000000E+00  0.884389E+03
 0.466183E+04  0.000000E+00  0.000000E+00  0.887964E+03
 0.467969E+04  0.000000E+00  0.000000E+00  0.891539E+03
 0.469755E+04  0.000000E+00  0.000000E+00  0.895113E+03
 0.471541E+04  0.000000E+00  0.000000E+00  0.898688E+03
 0.473327E+04  0.000000E+00  0.000000E+00  0.902263E+03
 0.475113E+04  0.000000E+00  0.000000E+00  0.905837E+03
 0.476899E+04  0.000000E+00  0.000000E+00  0.909411E+03
 0.478684E+04  0.000000E+00  0.000000E+00  0.912986E+03
 0.480470E+04  0.000000E+00  0.000000E+00  0.916560E+03
 0.482256E+04  0.000000E+00  0.000000E+00  0.920135E+03
 0.484042E+04 -0.101366E-04  0.000000E+00  0.923709E+03
 0.485828E+04 -0.352896E-04  0.000000E+00  0.927284E+03
 0.487614E+04 -0.882449E-04  0.000000E+00  0.930859E+03
 0.489400E+04 -0.196785E-03  0.000000E+00  0.934433E+03
 0.491186E+04 -0.413433E-03  0.000000E+00  0.938008E+03
 0.492972E+04 -0.834641E-03  0.000000E+00  0.941583E+03
 0.494758E+04 -0.163252E-02  0.000000E+00  0.945158E+03
 0.496544E+04 -0.310522E-02  0.000000E+00  0.948734E+03
 0.498330E+04 -0.575435E-02  0.000000E+00  0.952309E+03
 0.500116E+04 -0.103969E-01  0.000000E+00  0.955884E+03
 0.501903E+04 -0.183232E-01  0.000000E+00  0.959460E+03
 0.503689E+04 -0.315137E-01  0.000000E+00  0.963036E+03
 0.505476E+04 -0.529064E-01  0.000000E+00  0.966612E+03
 0.507263E+04 -0.867107E-01  0.000000E+00  0.970188E+03
 0.509050E+04 -0.138741E+00  0.000000E+00  0.973765E+03
 0.510837E+04 -0.216802E+00  0.000000E+00  0.977342E+03
 0.512624E+04 -0.330958E+00  0.000000E+00  0.980919E+03
 0.514411E+04 -0.493627E+00  0.000000E+00  0.984497E+03
 0.516199E+04 -0.719329E+00  0.000000E+00  0.988074E+03
 0.517987E+04 -0.102459E+01  0.000000E+00  0.991653E+03
 0.519774E+04 -0.142726E+01  0.000000E+00  0.995232E+03
 0.521562E+04 -0.194458E+01  0.000000E+00  0.998810E+03
 0.523351E+04 -0.259172E+01  0.000000E+00  0.100239E+04
 0.525139E+04 -0.338087E+01  0.000000E+00  0.100597E+04
 0.526928E+04 -0.431965E+01  0.000000E+00  0.100955E+04
 0.528717E+04 -0.540752E+01  0.000000E+00  0.101313E+04
 0.530506E+04 -0.663407E+01  0.000000E+00  0.101671E+04
 0.532295E+04 -0.798174E+01  0.000000E+00  0.102029E+04
 0.534085E+04 -0.942905E+01  0.000000E+00  0.102388E+04
 0.535875E+04 -0.109418E+02  0.000000E+00  0.102746E+04
 0.537665E+04 -0.124790E+02  0.000000E+00  0.103104E+04
 0.539456E+04 -0.139998E+02  0.000000E+00  0.103463E+04
 0.541247E+04 -0.154770E+02  0.000000E+00  0.103821E+04
 0.543038E+04 -0.168685E+02  0.000000E+00  0.104180E+04
 0.544829E+04 -0.181442E+02  0.000000E+00  0.104538E+04
 0.546622E+04 -0.192768E+02  0.000000E+00  0.104897E+04
 0.548414E+04 -0.202755E+02  0.000000E+00  0.105256E+04
 0.550207E+04 -0.211255E+02  0.000000E+00  0.105615E+04
 0.551999E+04 -0.218280E+02  0.000000E+00  0.105973E+04
 0.553793E+04 -0.223863E+02  0.000000E+00  0.106332E+04
 0.555587E+04 -0.228373E+02  0.000000E+00  0.106691E+04
 0.557380E+04 -0.231855E+02  0.000000E+00  0.107050E+04
 0.559174E+04 -0.234450E+02  0.000000E+00  0.107410E+04
 0.560970E+04 -0.236168E+02  0.000000E+00  0.107769E+04
 0.562766E+04 -0.237577E+02  0.000000E+00  0.108128E+04
 0.564561E+04 -0.238582E+02  0.000000E+00  0.108488E+04
 0.566357E+04 -0.239288E+02  0.000000E+00  0.108847E+04
 0.568155E+04 -0.239567E+02  0.000000E+00  0.109207E+04
 0.569952E+04 -0.239946E+02  0.000000E+00  0.109567E+04
 0.571750E+04 -0.240226E+02  0.000000E+00  0.109927E+04
 0.573547E+04 -0.240426E+02  0.000000E+00  0.110286E+04
 0.575347E+04 -0.240341E+02  0.000000E+00  0.110647E+04
 0.577147E+04 -0.240496E+02  0.000000E+00  0.111007E+04
 0.578946E+04 -0.240651E+02  0.000000E+00  0.111367E+04
 0.580746E+04 -0.240788E+02  0.000000E+00  0.111727E+04
 0.582548E+04 -0.240634E+02  0.000000E+00  0.112088E+04
 0.584350E+04 -0.240775E+02  0.000000E+00  0.112449E+04
 0.586152E+04 -0.240916E+02  0.000000E+00  0.112809E+04
 0.587954E+04 -0.241059E+02  0.000000E+00  0.113170E+04
 0.589758E+04 -0.240851E+02  0.000000E+00  0.113531E+04
 0.591563E+04 -0.240991E+02  0.000000E+00  0.113892E+04
 0.593368E+04 -0.241140E+02  0.000000E+00  0.114254E+04
 0.595172E+04 -0.241291E+02  0.000000E+00  0.114615E+04
 0.596979E+04 -0.241093E+02  0.000000E+00  0.114977E+04
 0.598787E+04 -0.241241E+02  0.000000E+00  0.115338E+04
 0.600594E+04 -0.241394E+02  0.000000E+00  0.115700E+04
 0.602401E+04 -0.241554E+02  0.000000E+00  0.116062E+04
 0.604211E+04 -0.241346E+02  0.000000E+00  0.116424E+04
 0.606022E+04 -0.241491E+02  0.000000E+00  0.116786E+04
 0.607832E+04 -0.241653E+02  0.000000E+00  0.117149E+04
 0.609642E+04 -0.241830E+02  0.000000E+00  0.117511E+04
 0.611455E+04 -0.241600E+02  0.000000E+00  0.117874E+04
