NDF v10.0b 16Jan21 rev 16Jan21 run 09/05/2022 17:05:44 Filename: or010104.datbatch original_file.spc
str original_file.str
file original_file1.dat
geo original_file1.geo
element O    
 depth(at/cm2) element>0 element depth(nm)
-0.345742E+03 -0.256322E+03  0.000000E+00 -0.447406E+02
-0.333928E+03 -0.256242E+03  0.000000E+00 -0.432119E+02
-0.322115E+03 -0.256164E+03  0.000000E+00 -0.416831E+02
-0.310301E+03 -0.256084E+03  0.000000E+00 -0.401544E+02
-0.298488E+03 -0.256007E+03  0.000000E+00 -0.386257E+02
-0.286674E+03 -0.255929E+03  0.000000E+00 -0.370970E+02
-0.274861E+03 -0.255851E+03  0.000000E+00 -0.355682E+02
-0.263047E+03 -0.255774E+03  0.000000E+00 -0.340395E+02
-0.251233E+03 -0.255698E+03  0.000000E+00 -0.325108E+02
-0.239420E+03 -0.255622E+03  0.000000E+00 -0.309820E+02
-0.227606E+03 -0.255547E+03  0.000000E+00 -0.294533E+02
-0.215793E+03 -0.255472E+03  0.000000E+00 -0.279246E+02
-0.203979E+03 -0.255399E+03  0.000000E+00 -0.263958E+02
-0.192166E+03 -0.255325E+03  0.000000E+00 -0.248671E+02
-0.180352E+03 -0.255253E+03  0.000000E+00 -0.233384E+02
-0.168538E+03 -0.255180E+03  0.000000E+00 -0.218096E+02
-0.156725E+03 -0.255109E+03  0.000000E+00 -0.202809E+02
-0.144911E+03 -0.255037E+03  0.000000E+00 -0.187522E+02
-0.133098E+03 -0.254967E+03  0.000000E+00 -0.172235E+02
-0.121284E+03 -0.254898E+03  0.000000E+00 -0.156947E+02
-0.109471E+03 -0.254829E+03  0.000000E+00 -0.141660E+02
-0.976570E+02 -0.254761E+03  0.000000E+00 -0.126373E+02
-0.858434E+02 -0.254693E+03  0.000000E+00 -0.111085E+02
-0.740299E+02 -0.254625E+03  0.000000E+00 -0.957980E+01
-0.622163E+02 -0.254559E+03  0.000000E+00 -0.805107E+01
-0.504027E+02 -0.254493E+03  0.000000E+00 -0.652234E+01
-0.385891E+02 -0.254428E+03  0.000000E+00 -0.499361E+01
-0.267756E+02 -0.254363E+03  0.000000E+00 -0.346488E+01
-0.149620E+02 -0.254299E+03  0.000000E+00 -0.193615E+01
-0.314843E+01 -0.254236E+03  0.000000E+00 -0.407422E+00
 0.866514E+01 -0.254052E+03  0.000000E+00  0.112131E+01
 0.204787E+02 -0.253990E+03  0.000000E+00  0.265004E+01
 0.322923E+02 -0.253929E+03  0.000000E+00  0.417877E+01
 0.441080E+02 -0.253822E+03  0.000000E+00  0.570778E+01
 0.559249E+02 -0.253735E+03  0.000000E+00  0.723695E+01
 0.677419E+02 -0.253676E+03  0.000000E+00  0.876611E+01
 0.795607E+02 -0.253576E+03  0.000000E+00  0.102955E+02
 0.913812E+02 -0.253484E+03  0.000000E+00  0.118251E+02
 0.103202E+03 -0.253426E+03  0.000000E+00  0.133548E+02
 0.115024E+03 -0.253329E+03  0.000000E+00  0.148846E+02
 0.126849E+03 -0.253223E+03  0.000000E+00  0.164148E+02
 0.138673E+03 -0.253167E+03  0.000000E+00  0.179450E+02
 0.150499E+03 -0.253079E+03  0.000000E+00  0.194753E+02
 0.162328E+03 -0.252963E+03  0.000000E+00  0.210061E+02
 0.174158E+03 -0.252910E+03  0.000000E+00  0.225368E+02
 0.185988E+03 -0.252829E+03  0.000000E+00  0.240677E+02
 0.197822E+03 -0.252698E+03  0.000000E+00  0.255991E+02
 0.209656E+03 -0.252646E+03  0.000000E+00  0.271305E+02
 0.221491E+03 -0.252577E+03  0.000000E+00  0.286620E+02
 0.233330E+03 -0.252436E+03  0.000000E+00  0.301940E+02
 0.245170E+03 -0.252387E+03  0.000000E+00  0.317261E+02
 0.257009E+03 -0.252329E+03  0.000000E+00  0.332582E+02
 0.268854E+03 -0.252169E+03  0.000000E+00  0.347910E+02
 0.280699E+03 -0.252122E+03  0.000000E+00  0.363238E+02
 0.292544E+03 -0.252076E+03  0.000000E+00  0.378566E+02
 0.304395E+03 -0.251902E+03  0.000000E+00  0.393901E+02
