Ion = Chlorine    , Mass = 34.969
Tgt =  H (Solid), Density = .07 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
2.490E+04   1.725E+02  3.207E-01 
2.491E+04   1.725E+02  3.207E-01 
2.491E+04   1.725E+02  3.207E-01 
2.491E+04   1.725E+02  3.207E-01 
2.491E+04   1.725E+02  3.207E-01 
2.491E+04   1.725E+02  3.207E-01 
2.491E+04   1.725E+02  3.207E-01 
2.491E+04   1.725E+02  3.206E-01 
2.492E+04   1.725E+02  3.206E-01 
2.492E+04   1.725E+02  3.206E-01 
2.492E+04   1.725E+02  3.206E-01 
2.492E+04   1.725E+02  3.206E-01 
2.492E+04   1.725E+02  3.206E-01 
2.492E+04   1.725E+02  3.206E-01 
2.492E+04   1.725E+02  3.205E-01 
2.492E+04   1.725E+02  3.205E-01 
2.493E+04   1.725E+02  3.205E-01 
2.493E+04   1.725E+02  3.205E-01 
2.493E+04   1.725E+02  3.205E-01 
2.493E+04   1.725E+02  3.205E-01 
2.493E+04   1.725E+02  3.205E-01 
2.493E+04   1.725E+02  3.204E-01 
2.493E+04   1.725E+02  3.204E-01 
2.494E+04   1.725E+02  3.204E-01 
2.494E+04   1.725E+02  3.204E-01 
2.494E+04   1.725E+02  3.204E-01 
2.494E+04   1.725E+02  3.204E-01 
2.494E+04   1.725E+02  3.204E-01 
2.494E+04   1.725E+02  3.203E-01 
2.494E+04   1.725E+02  3.203E-01 
2.494E+04   1.725E+02  3.203E-01 
2.495E+04   1.725E+02  3.203E-01 
2.495E+04   1.725E+02  3.203E-01 
2.495E+04   1.725E+02  3.203E-01 
2.495E+04   1.725E+02  3.203E-01 
2.495E+04   1.725E+02  3.202E-01 
2.495E+04   1.725E+02  3.202E-01 
2.495E+04   1.725E+02  3.202E-01 
2.495E+04   1.725E+02  3.202E-01 
2.496E+04   1.725E+02  3.202E-01 
2.496E+04   1.725E+02  3.202E-01 
2.496E+04   1.725E+02  3.202E-01 
2.496E+04   1.725E+02  3.201E-01 
2.496E+04   1.725E+02  3.201E-01 
2.496E+04   1.725E+02  3.201E-01 
2.496E+04   1.725E+02  3.201E-01 
2.497E+04   1.725E+02  3.201E-01 
2.497E+04   1.725E+02  3.201E-01 
2.497E+04   1.725E+02  3.201E-01 
2.497E+04   1.725E+02  3.200E-01 
2.497E+04   1.725E+02  3.200E-01 
2.497E+04   1.725E+02  3.200E-01 
2.497E+04   1.725E+02  3.200E-01 
2.497E+04   1.725E+02  3.200E-01 
2.498E+04   1.725E+02  3.200E-01 
2.498E+04   1.725E+02  3.200E-01 
2.498E+04   1.725E+02  3.199E-01 
2.498E+04   1.725E+02  3.199E-01 
2.498E+04   1.725E+02  3.199E-01 
2.498E+04   1.725E+02  3.199E-01 
2.498E+04   1.725E+02  3.199E-01 
2.498E+04   1.725E+02  3.199E-01 
2.499E+04   1.725E+02  3.199E-01 
2.499E+04   1.725E+02  3.199E-01 
2.499E+04   1.725E+02  3.198E-01 
2.499E+04   1.725E+02  3.198E-01 
2.499E+04   1.725E+02  3.198E-01 
2.499E+04   1.725E+02  3.198E-01 
2.499E+04   1.725E+02  3.198E-01 
2.500E+04   1.725E+02  3.198E-01 
2.500E+04   1.725E+02  3.198E-01 
2.500E+04   1.725E+02  3.197E-01 
2.500E+04   1.725E+02  3.197E-01 
2.500E+04   1.725E+02  3.197E-01 
2.500E+04   1.725E+02  3.197E-01 
2.500E+04   1.725E+02  3.197E-01 
2.500E+04   1.725E+02  3.197E-01 
